Actor,Community_Louvain
Anupam Kher,0
Samuel L. Jackson,5
Takahiro Sakurai,1
Fred Tatasciore,4
Yuichi Nakamura,1
Yuki Kaji,1
Shah Rukh Khan,0
Fred Armisen,5
Akshay Kumar,0
Katsuyuki Konishi,1
Jun Fukuyama,1
Om Puri,0
Junichi Suwabe,1
Naseeruddin Shah,0
Boman Irani,0
Hiroshi Kamiya,1
James Franco,5
Maya Rudolph,5
Paresh Rawal,0
Amitabh Bachchan,0
Nick Swardson,5
Dennis Quaid,2
Adam Sandler,5
Nicolas Cage,5
Willem Dafoe,5
Daisuke Ono,1
Joan Cusack,6
Elizabeth Banks,2
Bobby Cannavale,2
Chris Parnell,5
Kari Wahlgren,4
Liev Schreiber,2
Kevin Michael Richardson,4
Kay Kay Menon,0
John Travolta,5
Molly Shannon,5
Mamoru Miyano,1
Keith David,4
Jim Broadbent,6
Terrence Howard,2
Morgan Freeman,5
Laura Linney,6
Ai Kayano,1
Kana Hanazawa,1
Jon Hamm,6
Justin Long,2
Rob Riggle,5
Kareena Kapoor,0
Yoshimasa Hosoya,1
Yoshitsugu Matsuoka,1
Miyuki Sawashiro,1
Tony Hale,5
Yoko Hikasa,1
Janeane Garofalo,5
Bruce Willis,5
Alfred Molina,4
Andy Samberg,5
Guy Pearce,5
Kenjiro Tsuda,1
Adam Scott,5
Grey Griffin,4
Seth Rogen,4
Michael Peña,5
Danny Trejo,5
Ben Kingsley,6
Kathy Bates,5
Rosario Dawson,4
Satoshi Hino,1
Kaito Ishikawa,1
Will Forte,5
Tomokazu Sugita,1
Dermot Mulroney,5
Tetsuya Kakihara,1
Gugu Mbatha-Raw,6
Sam Shepard,5
Nobuhiko Okamoto,1
Rie Kugimiya,1
Jason Schwartzman,5
Kazuhiko Inoue,1
Takehito Koyasu,1
Mark Hamill,4
Bryce Dallas Howard,6
Jon Lovitz,5
Gerard Butler,2
Patrick Warburton,2
John C. Reilly,5
Eri Kitamura,1
Chloë Grace Moretz,2
Laurence Fishburne,5
Paul Giamatti,5
Anil Kapoor,0
Saori Hayami,1
James Cromwell,5
Sayaka Ohara,1
Joseph Gordon-Levitt,5
Steve Buscemi,5
Rajesh Sharma,0
Tara Strong,4
Naomi Watts,2
Jane Lynch,5
Johnny Depp,5
Paul Rudd,5
James Marsden,5
Fumiko Orikasa,1
Halle Berry,2
Yuri Lowenthal,4
Sarah Silverman,5
Helen Mirren,6
Yashpal Sharma,0
Priyanka Chopra,0
Pierce Brosnan,5
John Goodman,4
Oprah Winfrey,4
Gulshan Grover,0
Mark Strong,6
Topher Grace,4
Natsuki Hanae,1
Jackie Shroff,0
Stanley Tucci,5
Tinnu Anand,0
