Community,NumActors
855,6339
891,3168
58,1515
486,1308
847,1256
623,1098
534,992
140,942
805,776
217,770
401,731
767,680
6,660
897,628
687,615
507,610
27,593
8,591
469,585
385,469
76,458
919,443
336,429
867,416
257,411
284,401
210,379
106,370
128,369
362,330
591,320
706,318
452,297
368,291
531,251
75,243
658,236
104,232
973,227
918,226
267,198
141,195
9,191
256,130
270,122
593,108
169,89
232,69
1,56
448,56
289,45
244,35
462,32
732,30
130,26
612,26
465,25
722,25
550,24
346,23
82,22
434,22
460,22
151,21
580,21
223,20
642,19
24,18
43,18
179,17
480,17
629,17
13,16
160,16
182,16
250,16
113,15
122,15
162,15
184,15
247,15
417,15
78,14
111,14
133,14
202,14
204,14
407,14
410,14
699,14
845,14
51,13
109,13
163,13
191,13
328,13
652,13
762,13
851,13
11,12
50,12
68,12
92,12
99,12
103,12
168,12
199,12
358,12
377,12
398,12
456,12
517,12
718,12
956,12
3,11
45,11
70,11
85,11
127,11
131,11
183,11
189,11
253,11
295,11
411,11
436,11
490,11
14,10
18,10
20,10
29,10
31,10
35,10
37,10
38,10
40,10
41,10
54,10
56,10
67,10
74,10
87,10
116,10
117,10
118,10
125,10
135,10
144,10
148,10
152,10
157,10
161,10
166,10
190,10
195,10
198,10
205,10
211,10
233,10
235,10
249,10
261,10
269,10
278,10
292,10
313,10
335,10
344,10
397,10
414,10
416,10
470,10
495,10
503,10
628,10
646,10
655,10
729,10
761,10
784,10
823,10
943,10
961,10
5,9
16,9
59,9
94,9
100,9
107,9
138,9
142,9
146,9
149,9
171,9
172,9
203,9
207,9
226,9
252,9
258,9
281,9
283,9
317,9
332,9
341,9
351,9
364,9
366,9
540,9
614,9
619,9
942,9
15,8
21,8
25,8
32,8
44,8
47,8
48,8
53,8
63,8
64,8
65,8
71,8
77,8
81,8
88,8
101,8
129,8
145,8
175,8
177,8
196,8
208,8
213,8
214,8
219,8
227,8
241,8
259,8
288,8
290,8
291,8
296,8
302,8
311,8
315,8
320,8
325,8
334,8
379,8
404,8
408,8
415,8
424,8
427,8
442,8
455,8
496,8
512,8
524,8
541,8
553,8
565,8
571,8
595,8
605,8
704,8
733,8
813,8
873,8
4,7
17,7
39,7
49,7
79,7
115,7
134,7
139,7
150,7
153,7
164,7
174,7
186,7
201,7
228,7
299,7
301,7
307,7
321,7
352,7
356,7
380,7
409,7
413,7
435,7
461,7
510,7
515,7
546,7
596,7
607,7
711,7
835,7
841,7
10,6
26,6
61,6
62,6
80,6
91,6
98,6
114,6
123,6
124,6
132,6
136,6
137,6
147,6
154,6
173,6
178,6
185,6
209,6
218,6
220,6
230,6
234,6
248,6
263,6
294,6
305,6
309,6
310,6
314,6
333,6
339,6
355,6
371,6
384,6
412,6
423,6
425,6
431,6
438,6
451,6
467,6
472,6
483,6
484,6
492,6
500,6
518,6
547,6
573,6
579,6
606,6
730,6
751,6
806,6
840,6
878,6
886,6
906,6
930,6
947,6
12,5
33,5
52,5
57,5
60,5
73,5
83,5
110,5
121,5
143,5
158,5
159,5
187,5
192,5
193,5
197,5
279,5
304,5
316,5
319,5
324,5
338,5
363,5
373,5
405,5
428,5
441,5
449,5
473,5
475,5
498,5
537,5
538,5
539,5
543,5
544,5
545,5
555,5
556,5
583,5
597,5
613,5
659,5
803,5
815,5
849,5
875,5
908,5
978,5
2,4
30,4
34,4
42,4
89,4
108,4
119,4
156,4
165,4
176,4
237,4
240,4
260,4
297,4
348,4
375,4
388,4
393,4
426,4
450,4
477,4
481,4
487,4
491,4
497,4
508,4
533,4
554,4
576,4
581,4
586,4
588,4
689,4
690,4
701,4
764,4
785,4
818,4
822,4
831,4
852,4
880,4
903,4
910,4
914,4
19,3
84,3
97,3
102,3
112,3
216,3
221,3
231,3
242,3
245,3
251,3
254,3
255,3
273,3
306,3
312,3
357,3
381,3
394,3
400,3
488,3
509,3
511,3
514,3
548,3
551,3
559,3
572,3
603,3
624,3
635,3
639,3
660,3
665,3
715,3
735,3
736,3
746,3
758,3
760,3
812,3
824,3
863,3
954,3
977,3
983,3
7,2
22,2
93,2
96,2
155,2
206,2
215,2
239,2
264,2
268,2
277,2
303,2
329,2
330,2
378,2
386,2
399,2
402,2
446,2
458,2
464,2
476,2
493,2
519,2
561,2
562,2
564,2
568,2
569,2
574,2
584,2
592,2
598,2
601,2
610,2
611,2
644,2
674,2
675,2
676,2
678,2
696,2
702,2
705,2
707,2
723,2
725,2
744,2
749,2
754,2
775,2
787,2
792,2
794,2
797,2
810,2
