id,Community,Degree,Appearances,Betweenness,Closeness,PageRank
Anupam Kher,0,13,43,0.3357,0.4961,0.716
Samuel L. Jackson,2,12,24,0.1506,0.7664,0.473
Takahiro Sakurai,1,26,32,0.0008,0.3301,1.0
Fred Tatasciore,2,9,23,0.1894,0.8467,0.3392
Yuichi Nakamura,1,27,19,0.105,0.6428,0.622
Yuki Kaji,1,25,29,0.067,0.6321,0.8732
Shah Rukh Khan,0,8,35,0.0,0.1981,0.6273
Fred Armisen,2,10,19,0.0147,0.4371,0.5214
Akshay Kumar,0,6,30,0.0,0.1849,0.5104
Katsuyuki Konishi,1,22,12,0.0139,0.3167,0.3041
Jun Fukuyama,1,25,16,0.0841,0.6321,0.5118
Om Puri,0,9,30,0.0579,0.2007,0.4414
Junichi Suwabe,1,22,21,0.0015,0.3167,0.5979
Naseeruddin Shah,0,7,32,0.0151,0.1875,0.263
Boman Irani,0,9,27,0.0361,0.2007,0.4803
Hiroshi Kamiya,1,20,16,0.1381,0.6058,0.3331
James Franco,2,5,19,0.0026,0.5185,0.2179
Maya Rudolph,2,15,16,0.0564,0.7051,0.7985
Paresh Rawal,0,9,28,0.0444,0.1928,0.5436
Amitabh Bachchan,0,7,28,0.1108,0.3134,0.2961
Nick Swardson,2,11,12,0.1566,0.819,0.5519
Dennis Quaid,2,9,13,0.0012,0.6876,0.2997
Adam Sandler,2,10,20,0.021,0.5905,0.7213
Nicolas Cage,2,5,21,0.0181,0.5005,0.1205
Willem Dafoe,2,7,15,0.1144,0.5804,0.2009
Daisuke Ono,1,24,22,0.0367,0.6267,0.8935
Joan Cusack,2,5,13,0.0222,0.4493,0.2281
Elizabeth Banks,2,21,11,0.1307,0.8328,0.942
Bobby Cannavale,2,14,11,0.0761,0.76,0.5123
Chris Parnell,2,10,12,0.0334,0.5656,0.3417
Kari Wahlgren,2,18,16,1.0,1.0,0.5954
Liev Schreiber,2,12,13,0.0437,0.711,0.5291
Kevin Michael Richardson,2,7,14,0.0141,0.7537,0.355
Kay Kay Menon,0,4,21,0.0018,0.0,0.0575
John Travolta,2,7,14,0.0949,0.7537,0.2472
Molly Shannon,2,13,17,0.046,0.6876,0.6654
Mamoru Miyano,1,18,19,0.0821,0.5955,0.5245
Keith David,2,8,15,0.0638,0.6267,0.264
Jim Broadbent,2,4,13,0.0161,0.3757,0.1012
Terrence Howard,2,12,10,0.0292,0.7351,0.433
Morgan Freeman,2,4,19,0.0049,0.4534,0.1056
Laura Linney,2,4,13,0.0127,0.3403,0.187
Ai Kayano,1,23,19,0.0018,0.32,0.4318
Kana Hanazawa,1,23,18,0.0947,0.6214,0.5964
Jon Hamm,2,11,8,0.043,0.6321,0.3654
Justin Long,2,13,12,0.0608,0.7351,0.466
Rob Riggle,2,6,13,0.0075,0.5656,0.2349
Kareena Kapoor,0,8,25,0.0094,0.1981,0.4698
Yoshimasa Hosoya,1,20,16,0.006,0.3101,0.3277
Yoshitsugu Matsuoka,1,21,14,0.014,0.3134,0.3373
Miyuki Sawashiro,1,22,16,0.099,0.6162,0.3455
Tony Hale,2,5,14,0.0101,0.6321,0.1661
Yoko Hikasa,1,20,14,0.0138,0.3101,0.2334
Janeane Garofalo,2,10,10,0.0049,0.4961,0.4095
Bruce Willis,2,2,17,0.0,0.4617,0.0
Alfred Molina,2,6,16,0.1173,0.6649,0.145
Andy Samberg,2,11,12,0.0219,0.4172,0.5633
Guy Pearce,2,3,14,0.0086,0.4873,0.0244
Kenjiro Tsuda,1,21,14,0.0152,0.3134,0.1906
Adam Scott,2,11,12,0.0255,0.5185,0.4173
Grey Griffin,2,6,15,0.006,0.6934,0.2086
Seth Rogen,2,5,19,0.0019,0.4095,0.2178
Michael Peña,2,9,15,0.0603,0.6705,0.3018
Danny Trejo,2,6,17,0.0094,0.5416,0.1757
Ben Kingsley,2,4,15,0.1726,0.5511,0.0946
Kathy Bates,2,7,11,0.0395,0.6538,0.1911
Rosario Dawson,2,5,14,0.0679,0.7792,0.1016
Satoshi Hino,1,17,12,0.0024,0.3004,0.2191
Kaito Ishikawa,1,17,11,0.009,0.3004,0.1469
Will Forte,2,11,11,0.036,0.523,0.4517
Tomokazu Sugita,1,22,16,0.0036,0.3167,0.5123
Dermot Mulroney,2,6,12,0.031,0.4534,0.1993
Tetsuya Kakihara,1,20,9,0.0168,0.3101,0.2303
Gugu Mbatha-Raw,2,5,9,0.0087,0.3942,0.1084
Sam Shepard,2,2,11,0.0034,0.3613,0.0073
Nobuhiko Okamoto,1,23,12,0.0163,0.32,0.3211
Rie Kugimiya,1,16,12,0.0112,0.2972,0.162
Jason Schwartzman,2,9,12,0.0284,0.6267,0.4392
Kazuhiko Inoue,1,15,14,0.0175,0.294,0.0921
Takehito Koyasu,1,16,15,0.0037,0.2972,0.2151
Mark Hamill,2,9,11,0.0424,0.6162,0.4002
Bryce Dallas Howard,2,8,7,0.026,0.5705,0.2599
Jon Lovitz,2,8,10,0.0204,0.5608,0.2614
Gerard Butler,2,14,13,0.1882,0.7989,0.5637
Patrick Warburton,2,13,11,0.0363,0.729,0.5828
John C. Reilly,2,9,13,0.0782,0.6593,0.3982
Eri Kitamura,1,21,9,0.0072,0.3134,0.2394
Chloë Grace Moretz,2,13,9,0.3857,0.9834,0.4373
Laurence Fishburne,2,4,16,0.0133,0.4251,0.1711
Paul Giamatti,2,13,12,0.2904,0.8826,0.4333
Anil Kapoor,0,8,18,0.0505,0.1981,0.2415
Saori Hayami,1,17,13,0.0049,0.3004,0.206
James Cromwell,2,6,11,0.0051,0.4018,0.1663
Sayaka Ohara,1,13,12,0.0063,0.2877,0.1045
Joseph Gordon-Levitt,2,7,9,0.0224,0.4744,0.2296
Steve Buscemi,2,10,12,0.0325,0.5905,0.5291
Rajesh Sharma,0,4,18,0.0286,0.1798,0.0597
Tara Strong,2,4,23,0.0007,0.6483,0.1227
Naomi Watts,2,9,12,0.0009,0.6876,0.3003
Jane Lynch,2,6,10,0.0028,0.4018,0.1644
