Director,Degree,DegreeCentrality,Betweenness,Closeness,PageRank,Degree_norm,Betweenness_norm,Closeness_norm,PageRank_norm
Roger Allers,21,0.21212121212121213,0.022263450834879406,0.21212121212121213,0.01775694157402026,1.0,0.9818181818181818,1.0,1.0
Chris Buck,12,0.12121212121212122,0.0,0.14848484848484847,0.010038991874817053,0.5263157894736842,0.0,0.6684210526315789,0.1098932041593621
Byron Howard,12,0.12121212121212122,0.0,0.14848484848484847,0.010038991874817053,0.5263157894736842,0.0,0.6684210526315789,0.1098932041593621
Peter Farrelly,11,0.11111111111111112,0.0,0.1111111111111111,0.01,0.47368421052631576,0.0,0.4736842105263157,0.10539629317783433
Shinji Aramaki,12,0.12121212121212122,0.022675736961451247,0.14848484848484847,0.010896992192400985,0.5263157894736842,1.0,0.6684210526315789,0.20884589798084796
Rusty Cundieff,11,0.11111111111111112,0.0,0.1111111111111111,0.01,0.47368421052631576,0.0,0.4736842105263157,0.10539629317783433
Jennifer Lee,12,0.12121212121212122,0.0,0.14848484848484847,0.010038991874817053,0.5263157894736842,0.0,0.6684210526315789,0.1098932041593621
Patrick Osborne,12,0.12121212121212122,0.0,0.14848484848484847,0.010038991874817053,0.5263157894736842,0.0,0.6684210526315789,0.1098932041593621
Lauren MacMullan,12,0.12121212121212122,0.0,0.14848484848484847,0.010038991874817053,0.5263157894736842,0.0,0.6684210526315789,0.1098932041593621
John Kahrs,12,0.12121212121212122,0.0,0.14848484848484847,0.010038991874817053,0.5263157894736842,0.0,0.6684210526315789,0.1098932041593621
Nathan Greno,12,0.12121212121212122,0.0,0.14848484848484847,0.010038991874817053,0.5263157894736842,0.0,0.6684210526315789,0.1098932041593621
Stevie Wermers,12,0.12121212121212122,0.0,0.14848484848484847,0.010038991874817053,0.5263157894736842,0.0,0.6684210526315789,0.1098932041593621
Dean Wellins,12,0.12121212121212122,0.0,0.14848484848484847,0.010038991874817053,0.5263157894736842,0.0,0.6684210526315789,0.1098932041593621
Kevin Deters,12,0.12121212121212122,0.0,0.14848484848484847,0.010038991874817053,0.5263157894736842,0.0,0.6684210526315789,0.1098932041593621
Mike Gabriel,12,0.12121212121212122,0.0,0.14848484848484847,0.010038991874817053,0.5263157894736842,0.0,0.6684210526315789,0.1098932041593621
Mark Henn,12,0.12121212121212122,0.0,0.14848484848484847,0.010038991874817053,0.5263157894736842,0.0,0.6684210526315789,0.1098932041593621
Gautham Vasudev Menon,8,0.08080808080808081,0.0,0.08080808080808081,0.01,0.3157894736842105,0.0,0.3157894736842105,0.10539629317783433
Mamoru Oshii,11,0.11111111111111112,0.0,0.11136363636363637,0.009992586404347067,0.47368421052631576,0.0,0.475,0.10454128736288695
Hideki Futamura,11,0.11111111111111112,0.0,0.11136363636363637,0.009992586404347067,0.47368421052631576,0.0,0.475,0.10454128736288695
Toshiyuki Kanno,11,0.11111111111111112,0.0,0.11136363636363637,0.009992586404347067,0.47368421052631576,0.0,0.475,0.10454128736288695
Tomoki Kyoda,11,0.11111111111111112,0.0,0.11136363636363637,0.009992586404347067,0.47368421052631576,0.0,0.475,0.10454128736288695
