Actor,Group,Movies_Count
Anupam Kher,Internacional,43
Shah Rukh Khan,Internacional,35
Julie Tejwani,India,33
Naseeruddin Shah,Internacional,32
Takahiro Sakurai,Japan,32
Rupa Bhimani,India,31
Akshay Kumar,Internacional,30
Om Puri,Internacional,30
Yuki Kaji,Japan,29
Amitabh Bachchan,India,28
Paresh Rawal,Internacional,28
Boman Irani,Internacional,27
Rajesh Kava,India,26
Vincent Tong,Internacional,26
Andrea Libman,Internacional,25
Kareena Kapoor,Internacional,25
Samuel L. Jackson,Internacional,24
John Cleese,Internacional,24
Jigna Bhardwaj,India,23
Fred Tatasciore,Internacional,23
Tara Strong,Internacional,23
Daisuke Ono,Japan,22
Junichi Suwabe,Japan,21
Ajay Devgn,Internacional,21
Ashleigh Ball,Internacional,21
Kay Kay Menon,Internacional,21
Nicolas Cage,Internacional,21
Nawazuddin Siddiqui,Internacional,21
Adam Sandler,United States,20
David Attenborough,Internacional,20
Salman Khan,India,20
David Spade,Internacional,19
Yuichi Nakamura,Japan,19
Erin Fitzgerald,Internacional,19
Mamoru Miyano,Japan,19
Morgan Freeman,Internacional,19
James Franco,Internacional,19
Seth Rogen,Internacional,19
Ai Kayano,Japan,19
Fred Armisen,Internacional,19
Gulshan Grover,Internacional,19
Vatsal Dubey,India,18
Rajesh Sharma,India,18
Fortune Feimster,Internacional,18
Diana Kaarina,Internacional,18
Yashpal Sharma,Internacional,18
Kana Hanazawa,Japan,18
Laura Bailey,Internacional,18
Anil Kapoor,Internacional,18
Debi Derryberry,Internacional,18
Bruce Willis,Internacional,17
Molly Shannon,Internacional,17
Rajpal Yadav,India,17
Brian Drummond,Internacional,17
Michela Luci,Internacional,17
Alessandro Juliani,Internacional,17
Danny Trejo,Internacional,17
Priyanka Chopra,Internacional,17
Asrani,India,17
Jackie Shroff,Internacional,17
Saif Ali Khan,Internacional,17
Kate Higgins,Internacional,17
Maya Rudolph,Internacional,16
Blossom Chukwujekwu,Internacional,16
Miyuki Sawashiro,Japan,16
Jun Fukuyama,Internacional,16
Kari Wahlgren,Internacional,16
Tinnu Anand,India,16
Yoshimasa Hosoya,Japan,16
Hiroshi Kamiya,Internacional,16
Mike Epps,Internacional,16
Laurence Fishburne,Internacional,16
Sanjay Mishra,India,16
Manoj Joshi,India,16
Alfred Molina,Internacional,16
Vijay Raaz,India,16
Kristen Stewart,Internacional,16
Sam Vincent,Internacional,16
Manoj Bajpayee,Internacional,16
Tomokazu Sugita,Japan,16
Aamir Khan,Internacional,16
Hassan Hosny,Egypt,16
Robb Wells,Internacional,16
Michael Palin,Internacional,16
Amrish Puri,Internacional,16
Chris Rock,United States,15
Grey Griffin,Internacional,15
Richard Mofe-Damijo,Internacional,15
Sonal Kaushal,India,15
Pankaj Tripathi,Internacional,15
Willem Dafoe,Internacional,15
Sanjay Dutt,India,15
Radhika Apte,Internacional,15
Takehito Koyasu,Japan,15
Kathleen Barr,Internacional,15
Michael Peña,Internacional,15
Toyin Abraham,Nigeria,15
Keith David,Internacional,15
Erin Mathews,Internacional,15
Ben Kingsley,Internacional,15
