id,Degree,Closeness,PageRank,Betweenness,Degree_norm,Closeness_norm,PageRank_norm,Betweenness_norm,Community,country,genres_list
Antonio Banderas,14,0.47058823529411764,0.01071970780026807,0.011786730363113358,0.2826086956521739,0.45283719548425433,0.261262663495642,0.13367383818398218,0,"Canada, Italy, Spain, United States","Action & Adventure, Children & Family Movies, Classic Movies, Comedies, Dramas, International Movies, Kids' TV, LGBTQ Movies, Music & Musicals, Romantic Movies, Sci-Fi & Fantasy, TV Action & Adventure, TV Comedies, Thrillers"
Cult Movies,13,0.41509433962264153,0.010477936076665287,0.008491243215769153,0.2608695652173913,0.2897012578616353,0.25351248855077607,0.09629957050326103,3,,"Alison Pill, Ben Whishaw, Fred Tatasciore, Jason Schwartzman, Jim Broadbent, John Cleese, John Leguizamo, Johnny Depp, Keith David, Mae Whitman, Michael Palin, Ron Perlman, Samuel L. Jackson"
J.K. Simmons,12,0.4607329842931937,0.009307537494498287,0.006077125459650538,0.2391304347826087,0.4238656195462478,0.21599447928216509,0.06892095265531371,2,"Canada, France, Spain, United Kingdom, United States","Action & Adventure, Children & Family Movies, Comedies, Dramas, Horror Movies, Independent Movies, International Movies, Kids' TV, Romantic Movies, Sci-Fi & Fantasy, TV Action & Adventure, TV Sci-Fi & Fantasy"
Yuki Kaji,12,0.4607329842931937,0.012479978067089333,0.033627679179345484,0.2391304347826087,0.4238656195462478,0.31768945449839897,0.3813730192038892,3,Japan,"Action & Adventure, Anime Features, Anime Series, Children & Family Movies, Crime TV Shows, Horror Movies, International Movies, International TV Shows, Romantic Movies, Romantic TV Shows, TV Shows, Teen TV Shows"
Music & Musicals,10,0.4,0.008491840995768775,0.0017030490056053704,0.1956521739130435,0.24532828282828295,0.18984671281525337,0.019314355226715436,0,,"Antonio Banderas, Anupam Kher, Ben Whishaw, Helena Bonham Carter, Hugh Bonneville, Jason Schwartzman, Joe Pantoliano, Johnny Depp, Keegan-Michael Key, Stephanie Sheh"
Horror Movies,20,0.4536082474226804,0.015278090830839175,0.019329099563048797,0.41304347826086957,0.4029209621993127,0.4073850694833511,0.21921218587633656,4,,"Ben Kingsley, Bob Balaban, Emma Roberts, Gary Cole, Guy Pearce, Helen Mirren, Helena Bonham Carter, J.K. Simmons, Jason Isaacs, Johnny Depp, Keith David, Kiernan Shipka, Laurence Fishburne, Mike Vogel, Penélope Cruz, Ron Perlman, Sam Neill, Samuel L. Jackson, Terry Crews, Yuki Kaji"
Guy Pearce,14,0.47058823529411764,0.010813019790461665,0.008229582930096563,0.2826086956521739,0.45283719548425433,0.2642538497174109,0.09333206945686112,3,"Australia, France, Italy, United Kingdom, United States","Action & Adventure, British TV Shows, Children & Family Movies, Comedies, Dramas, Horror Movies, Independent Movies, International Movies, International TV Shows, LGBTQ Movies, Romantic Movies, Romantic TV Shows, Sci-Fi & Fantasy, Thrillers"
James Cromwell,12,0.4607329842931937,0.009611331808274722,0.007943518048317482,0.2391304347826087,0.4238656195462478,0.22573283513262468,0.09008779479043393,1,"Canada, France, Italy, United Kingdom, United States","Action & Adventure, Comedies, Docuseries, Dramas, Independent Movies, International Movies, Romantic Movies, Sci-Fi & Fantasy, TV Dramas, TV Horror, TV Mysteries, TV Thrillers"
TV Horror,10,0.39285714285714285,0.008481739666291694,0.003031071743313827,0.1956521739130435,0.22433035714285718,0.18952290708042005,0.0343755207133414,1,,"Alison Pill, Emma Roberts, Fred Tatasciore, Gary Cole, James Cromwell, Kiernan Shipka, Laurence Fishburne, Mike Vogel, Radhika Apte, Richard Armitage"
Martin Sheen,10,0.4512820512820513,0.008099927732405497,0.0047762426114798945,0.1956521739130435,0.39608262108262116,0.17728363757627721,0.05416758187431385,0,"Brazil, Canada, United Kingdom, United States","Children & Family Movies, Comedies, Dramas, Faith & Spirituality, Independent Movies, Romantic Movies, Sci-Fi & Fantasy, TV Comedies, TV Dramas, Thrillers"
