id,country,genres_list,Community,Degree_norm,PageRank_norm,Closeness_norm,Betweenness_norm
Antonio Banderas,"Canada, Italy, Spain, United States","Action & Adventure, Children & Family Movies, Classic Movies, Comedies, Dramas, International Movies, Kids' TV, LGBTQ Movies, Music & Musicals, Romantic Movies, Sci-Fi & Fantasy, TV Action & Adventure, TV Comedies, Thrillers",0,0.2826086956521739,0.261262663495642,0.45283719548425433,0.13367383818398218
Cult Movies,,"Alison Pill, Ben Whishaw, Fred Tatasciore, Jason Schwartzman, Jim Broadbent, John Cleese, John Leguizamo, Johnny Depp, Keith David, Mae Whitman, Michael Palin, Ron Perlman, Samuel L. Jackson",3,0.2608695652173913,0.25351248855077607,0.2897012578616353,0.09629957050326103
J.K. Simmons,"Canada, France, Spain, United Kingdom, United States","Action & Adventure, Children & Family Movies, Comedies, Dramas, Horror Movies, Independent Movies, International Movies, Kids' TV, Romantic Movies, Sci-Fi & Fantasy, TV Action & Adventure, TV Sci-Fi & Fantasy",2,0.2391304347826087,0.21599447928216509,0.4238656195462478,0.06892095265531371
Yuki Kaji,Japan,"Action & Adventure, Anime Features, Anime Series, Children & Family Movies, Crime TV Shows, Horror Movies, International Movies, International TV Shows, Romantic Movies, Romantic TV Shows, TV Shows, Teen TV Shows",3,0.2391304347826087,0.31768945449839897,0.4238656195462478,0.3813730192038892
Music & Musicals,,"Antonio Banderas, Anupam Kher, Ben Whishaw, Helena Bonham Carter, Hugh Bonneville, Jason Schwartzman, Joe Pantoliano, Johnny Depp, Keegan-Michael Key, Stephanie Sheh",0,0.1956521739130435,0.18984671281525337,0.24532828282828295,0.019314355226715436
Horror Movies,,"Ben Kingsley, Bob Balaban, Emma Roberts, Gary Cole, Guy Pearce, Helen Mirren, Helena Bonham Carter, J.K. Simmons, Jason Isaacs, Johnny Depp, Keith David, Kiernan Shipka, Laurence Fishburne, Mike Vogel, Penélope Cruz, Ron Perlman, Sam Neill, Samuel L. Jackson, Terry Crews, Yuki Kaji",4,0.41304347826086957,0.4073850694833511,0.4029209621993127,0.21921218587633656
Guy Pearce,"Australia, France, Italy, United Kingdom, United States","Action & Adventure, British TV Shows, Children & Family Movies, Comedies, Dramas, Horror Movies, Independent Movies, International Movies, International TV Shows, LGBTQ Movies, Romantic Movies, Romantic TV Shows, Sci-Fi & Fantasy, Thrillers",3,0.2826086956521739,0.2642538497174109,0.45283719548425433,0.09333206945686112
James Cromwell,"Canada, France, Italy, United Kingdom, United States","Action & Adventure, Comedies, Docuseries, Dramas, Independent Movies, International Movies, Romantic Movies, Sci-Fi & Fantasy, TV Dramas, TV Horror, TV Mysteries, TV Thrillers",1,0.2391304347826087,0.22573283513262468,0.4238656195462478,0.09008779479043393
TV Horror,,"Alison Pill, Emma Roberts, Fred Tatasciore, Gary Cole, James Cromwell, Kiernan Shipka, Laurence Fishburne, Mike Vogel, Radhika Apte, Richard Armitage",1,0.1956521739130435,0.18952290708042005,0.22433035714285718,0.0343755207133414
Martin Sheen,"Brazil, Canada, United Kingdom, United States","Children & Family Movies, Comedies, Dramas, Faith & Spirituality, Independent Movies, Romantic Movies, Sci-Fi & Fantasy, TV Comedies, TV Dramas, Thrillers",0,0.1956521739130435,0.17728363757627721,0.39608262108262116,0.05416758187431385
Teen TV Shows,,"Bob Balaban, Jason Schwartzman, Kiernan Shipka, Susan Sarandon, Yuki Kaji",2,0.08695652173913043,0.08671250295540078,0.16560734463276844,0.016755710220165743
Spanish-Language TV Shows,,"Alfonso Herrera, Stephen Fry",3,0.021739130434782608,0.02099111514897697,0.04934764309764311,0.0002528430011578979
Sci-Fi & Fantasy,,"Antonio Banderas, Anupam Kher, Ben Kingsley, Bob Balaban, Chris O'Dowd, Edgar Ramírez, Emma Roberts, Fred Tatasciore, Guy Pearce, Helen Mirren, Helena Bonham Carter, J.K. Simmons, James Cromwell, Jason Isaacs, Jim Broadbent, Joe Pantoliano, John Cleese, Johnny Depp, Kiernan Shipka, Laurence Fishburne, Martin Sheen, Mike Vogel, Morgan Freeman, Nicholas Hoult, Ron Perlman, Sam Neill, Samuel L. Jackson, Stephen Fry, Susan Sarandon, Sylvester Stallone",0,0.6304347826086957,0.6222785492102678,0.5911764705882354,0.3712590527247318
Sylvester Stallone,"Brazil, Canada, France, Italy, Japan, South Korea, Spain, United States","Action & Adventure, Children & Family Movies, Classic Movies, Comedies, Dramas, Reality TV, Sci-Fi & Fantasy, Sports Movies",4,0.15217391304347827,0.15864565133037958,0.3694165270798438,0.26626897779259656
Helen Mirren,"Australia, France, Italy, United Kingdom, United States","Action & Adventure, Children & Family Movies, Comedies, Documentaries, Dramas, Horror Movies, Independent Movies, International Movies, Romantic Movies, Sci-Fi & Fantasy, TV Comedies, Thrillers",4,0.2391304347826087,0.21514758993996505,0.4238656195462478,0.06068587334775291
John Leguizamo,"Spain, United States","Action & Adventure, Children & Family Movies, Comedies, Crime TV Shows, Cult Movies, Dramas, Independent Movies, LGBTQ Movies, Sports Movies, Stand-Up Comedy, TV Dramas, TV Mysteries, TV Thrillers, Thrillers",1,0.2826086956521739,0.2885261918168986,0.45283719548425433,0.19236328412586465
Nicholas Hoult,"France, Spain, United Kingdom, United States","Action & Adventure, British TV Shows, Children & Family Movies, Comedies, Dramas, Independent Movies, International Movies, International TV Shows, LGBTQ Movies, Romantic Movies, Sci-Fi & Fantasy, Sports Movies, TV Action & Adventure, Thrillers",3,0.2826086956521739,0.2605871293779267,0.45283719548425433,0.13919604491447085
Jim Broadbent,"France, Italy, Japan, United Kingdom, United States","Action & Adventure, Anime Features, British TV Shows, Children & Family Movies, Classic Movies, Comedies, Crime TV Shows, Cult Movies, Dramas, Independent Movies, International Movies, International TV Shows, Sci-Fi & Fantasy, Thrillers",3,0.2826086956521739,0.2825808936458042,0.45283719548425433,0.15285229950887438
Richard Armitage,"Canada, South Korea, United Kingdom, United States","Action & Adventure, Anime Series, British TV Shows, Crime TV Shows, Dramas, Independent Movies, International Movies, International TV Shows, Romantic TV Shows, TV Dramas, TV Horror, TV Thrillers",1,0.2391304347826087,0.24236393985151583,0.4238656195462478,0.19653554538724424
