id,Degree,Closeness,PageRank,Betweenness,Degree_norm,Closeness_norm,PageRank_norm,Betweenness_norm,country,genres_list
Brendan Gleeson,7,0.5510204081632653,0.025759209084855843,0.007175622450962189,0.0,0.08928571428571402,0.0,0.0,"Canada, France, Italy, Japan, Spain, United Kingdom, United States","Action & Adventure, Comedies, Dramas, Horror Movies, International Movies, Romantic Movies, Sci-Fi & Fantasy"
John Travolta,8,0.574468085106383,0.028821156835981483,0.01236871737629107,0.08333333333333333,0.1861702127659576,0.07938463124987197,0.06036883415792284,"Canada, France, United Kingdom, United States","Action & Adventure, Classic Movies, Comedies, Cult Movies, Dramas, Horror Movies, International Movies, Sci-Fi & Fantasy"
Anna Kendrick,7,0.5510204081632653,0.025841033509069515,0.00865432678357402,0.0,0.08928571428571402,0.002121395357268113,0.017189683205798945,"Canada, Japan, United Kingdom, United States","Action & Adventure, Comedies, Cult Movies, Dramas, Horror Movies, International Movies, Romantic Movies"
Pierce Brosnan,7,0.5510204081632653,0.02580934326710076,0.008181325073914836,0.0,0.08928571428571402,0.001299788204767227,0.011691119790838665,"France, Spain, United Kingdom, United States","Action & Adventure, Comedies, Cult Movies, Dramas, International Movies, Romantic Movies, Sci-Fi & Fantasy"
Malcolm McDowell,8,0.574468085106383,0.028819675141908405,0.012480621390450173,0.08333333333333333,0.1861702127659576,0.07934621657164202,0.06166969905053769,"Canada, France, United Kingdom, United States","Action & Adventure, Classic Movies, Comedies, Cult Movies, Dramas, Horror Movies, Romantic Movies, Sci-Fi & Fantasy"
Cult Movies,13,0.574468085106383,0.04569928886214076,0.041505584230993334,0.5,0.1861702127659576,0.5169702453710616,0.39907989342507144,,"Anna Kendrick, Christopher Meloni, Harrison Ford, Harvey Keitel, Jim Broadbent, John Travolta, Johnny Depp, Keith David, Malcolm McDowell, Pierce Brosnan, Ryan Reynolds, Tim Roth, Willem Dafoe"
J.K. Simmons,7,0.5510204081632653,0.025759209084855843,0.007175622450962189,0.0,0.08928571428571402,0.0,0.0,"Canada, France, Spain, United Kingdom, United States","Action & Adventure, Comedies, Dramas, Horror Movies, International Movies, Romantic Movies, Sci-Fi & Fantasy"
Harvey Keitel,7,0.5510204081632653,0.025883337582586256,0.009005988355452207,0.0,0.08928571428571402,0.0032181786956707345,0.021277688416118542,"Australia, France, United States","Action & Adventure, Classic Movies, Comedies, Cult Movies, Dramas, International Movies, Sci-Fi & Fantasy"
Willem Dafoe,8,0.574468085106383,0.028821156835981483,0.01236871737629107,0.08333333333333333,0.1861702127659576,0.07938463124987197,0.06036883415792284,"Canada, France, United Kingdom, United States","Action & Adventure, Classic Movies, Comedies, Cult Movies, Dramas, Horror Movies, International Movies, Sci-Fi & Fantasy"
Ryan Reynolds,7,0.5510204081632653,0.025784145470324735,0.007726484933240139,0.0,0.08928571428571402,0.0006465054031130919,0.006403681487557871,"Canada, Japan, United States","Action & Adventure, Comedies, Cult Movies, Dramas, Horror Movies, Romantic Movies, Sci-Fi & Fantasy"
Dramas,19,0.7714285714285715,0.06433024862886806,0.09319840221417446,1.0,1.0,1.0,1.0,,"Anna Kendrick, Ben Kingsley, Brendan Gleeson, Christopher Meloni, Harrison Ford, Harvey Keitel, Helen Mirren, J.K. Simmons, Jim Broadbent, John C. Reilly, John Travolta, Johnny Depp, Keith David, Malcolm McDowell, Michael Sheen, Pierce Brosnan, Ryan Reynolds, Tim Roth, Willem Dafoe"
Michael Sheen,7,0.5510204081632653,0.025759209084855843,0.007175622450962189,0.0,0.08928571428571402,0.0,0.0,"France, Italy, United Kingdom, United States","Action & Adventure, Comedies, Dramas, Horror Movies, International Movies, Romantic Movies, Sci-Fi & Fantasy"
