id,country,genres_list,Degree_norm,PageRank_norm,Closeness_norm,Betweenness_norm
Brendan Gleeson,"Canada, France, Italy, Japan, Spain, United Kingdom, United States","Action & Adventure, Comedies, Dramas, Horror Movies, International Movies, Romantic Movies, Sci-Fi & Fantasy",0.0,0.0,0.08928571428571402,0.0
John Travolta,"Canada, France, United Kingdom, United States","Action & Adventure, Classic Movies, Comedies, Cult Movies, Dramas, Horror Movies, International Movies, Sci-Fi & Fantasy",0.08333333333333333,0.07938463124987197,0.1861702127659576,0.06036883415792284
Anna Kendrick,"Canada, Japan, United Kingdom, United States","Action & Adventure, Comedies, Cult Movies, Dramas, Horror Movies, International Movies, Romantic Movies",0.0,0.002121395357268113,0.08928571428571402,0.017189683205798945
Pierce Brosnan,"France, Spain, United Kingdom, United States","Action & Adventure, Comedies, Cult Movies, Dramas, International Movies, Romantic Movies, Sci-Fi & Fantasy",0.0,0.001299788204767227,0.08928571428571402,0.011691119790838665
Malcolm McDowell,"Canada, France, United Kingdom, United States","Action & Adventure, Classic Movies, Comedies, Cult Movies, Dramas, Horror Movies, Romantic Movies, Sci-Fi & Fantasy",0.08333333333333333,0.07934621657164202,0.1861702127659576,0.06166969905053769
Cult Movies,,"Anna Kendrick, Christopher Meloni, Harrison Ford, Harvey Keitel, Jim Broadbent, John Travolta, Johnny Depp, Keith David, Malcolm McDowell, Pierce Brosnan, Ryan Reynolds, Tim Roth, Willem Dafoe",0.5,0.5169702453710616,0.1861702127659576,0.39907989342507144
J.K. Simmons,"Canada, France, Spain, United Kingdom, United States","Action & Adventure, Comedies, Dramas, Horror Movies, International Movies, Romantic Movies, Sci-Fi & Fantasy",0.0,0.0,0.08928571428571402,0.0
Harvey Keitel,"Australia, France, United States","Action & Adventure, Classic Movies, Comedies, Cult Movies, Dramas, International Movies, Sci-Fi & Fantasy",0.0,0.0032181786956707345,0.08928571428571402,0.021277688416118542
Willem Dafoe,"Canada, France, United Kingdom, United States","Action & Adventure, Classic Movies, Comedies, Cult Movies, Dramas, Horror Movies, International Movies, Sci-Fi & Fantasy",0.08333333333333333,0.07938463124987197,0.1861702127659576,0.06036883415792284
Ryan Reynolds,"Canada, Japan, United States","Action & Adventure, Comedies, Cult Movies, Dramas, Horror Movies, Romantic Movies, Sci-Fi & Fantasy",0.0,0.0006465054031130919,0.08928571428571402,0.006403681487557871
Dramas,,"Anna Kendrick, Ben Kingsley, Brendan Gleeson, Christopher Meloni, Harrison Ford, Harvey Keitel, Helen Mirren, J.K. Simmons, Jim Broadbent, John C. Reilly, John Travolta, Johnny Depp, Keith David, Malcolm McDowell, Michael Sheen, Pierce Brosnan, Ryan Reynolds, Tim Roth, Willem Dafoe",1.0,1.0,1.0,1.0
Michael Sheen,"France, Italy, United Kingdom, United States","Action & Adventure, Comedies, Dramas, Horror Movies, International Movies, Romantic Movies, Sci-Fi & Fantasy",0.0,0.0,0.08928571428571402,0.0
