source,target
Noah Baumbach,Documentaries
Noah Baumbach,Dramas
Noah Baumbach,Independent Movies
Noah Baumbach,Comedies
Noah Baumbach,Romantic Movies
Masaaki Yuasa,Sci-Fi & Fantasy
Masaaki Yuasa,Anime Features
Masaaki Yuasa,Music & Musicals
Masaaki Yuasa,International TV Shows
Masaaki Yuasa,Anime Series
Masaaki Yuasa,TV Horror
Cult Movies,Tim Burton
Cult Movies,Bong Joon Ho
Cult Movies,Brian De Palma
Cult Movies,Terry Gilliam
Cult Movies,Guillermo del Toro
Cult Movies,Jeremy Saulnier
Cult Movies,Quentin Tarantino
Patricia Font,Dramas
Patricia Font,International Movies
Patricia Font,Comedies
Patricia Font,International TV Shows
Patricia Font,TV Dramas
Patricia Font,TV Comedies
Maroun Baghdadi,Documentaries
Maroun Baghdadi,Dramas
Maroun Baghdadi,Independent Movies
Maroun Baghdadi,International Movies
Maroun Baghdadi,Classic Movies
Àlex Pastor,Independent Movies
Àlex Pastor,International Movies
Àlex Pastor,Horror Movies
Àlex Pastor,Sci-Fi & Fantasy
Àlex Pastor,Thrillers
Vikramaditya Motwane,Dramas
Vikramaditya Motwane,Independent Movies
Vikramaditya Motwane,International Movies
Vikramaditya Motwane,Comedies
Vikramaditya Motwane,Sci-Fi & Fantasy
Vikramaditya Motwane,Crime TV Shows
Vikramaditya Motwane,International TV Shows
Vikramaditya Motwane,TV Dramas
Jung-ah Im,International TV Shows
Jung-ah Im,Korean TV Shows
Jung-ah Im,Stand-Up Comedy & Talk Shows
Music & Musicals,Ashutosh Gowariker
Music & Musicals,Justin G. Dyck
Music & Musicals,Philippe Aractingi
Music & Musicals,Martin Scorsese
Music & Musicals,Robert Vince
Music & Musicals,Adam Shankman
Music & Musicals,Scott Hicks
Music & Musicals,Clint Eastwood
Music & Musicals,Navaniat Singh
Music & Musicals,Rohit Jugraj
Music & Musicals,Tim Burton
Music & Musicals,Priyadarshan
Tensai Okamura,International Movies
Tensai Okamura,Action & Adventure
Tensai Okamura,Anime Features
Tensai Okamura,Anime Series
Tensai Okamura,International TV Shows
Justin G. Dyck,Dramas
Justin G. Dyck,International Movies
Justin G. Dyck,Comedies
Justin G. Dyck,Romantic Movies
Justin G. Dyck,Children & Family Movies
Bong Joon Ho,Dramas
Bong Joon Ho,International Movies
Bong Joon Ho,Comedies
Bong Joon Ho,Action & Adventure
Horror Movies,Guillermo del Toro
Horror Movies,McG
Horror Movies,Anurag Kashyap
Horror Movies,Eli Roth
Horror Movies,Brian De Palma
Horror Movies,David Pastor
Horror Movies,Paul Weitz
Horror Movies,Jeremy Saulnier
Horror Movies,Tim Burton
Ron Howard,Dramas
Ron Howard,International Movies
Ron Howard,Comedies
Ron Howard,Sci-Fi & Fantasy
Ron Howard,Thrillers
Ron Howard,Action & Adventure
Ron Howard,Children & Family Movies
Ben Wheatley,Dramas
Ben Wheatley,Independent Movies
Ben Wheatley,Comedies
Ben Wheatley,Romantic Movies
Ben Wheatley,Thrillers
Ben Wheatley,Action & Adventure
Quentin Tarantino,Dramas
Quentin Tarantino,Thrillers
Quentin Tarantino,Action & Adventure
Quentin Tarantino,Classic Movies
Raphael Erichsen,Documentaries
Raphael Erichsen,International Movies
Raphael Erichsen,Sports Movies
TV Horror,Hong Won-ki
TV Horror,Eli Roth
Tim Burton,Dramas
Tim Burton,Comedies
Tim Burton,Sci-Fi & Fantasy
Tim Burton,Children & Family Movies
Clint Eastwood,Dramas
Clint Eastwood,Sci-Fi & Fantasy
Clint Eastwood,Thrillers
Clint Eastwood,Action & Adventure
Clint Eastwood,Classic Movies
Clint Eastwood,Sports Movies
Spanish-Language TV Shows,Mateo Gil
Sci-Fi & Fantasy,Guillermo del Toro
Sci-Fi & Fantasy,McG
Sci-Fi & Fantasy,David Pastor
Sci-Fi & Fantasy,Paul Weitz
Sci-Fi & Fantasy,Terry Gilliam
Sci-Fi & Fantasy,Peter Chelsom
Lasse Hallström,Dramas
Lasse Hallström,Independent Movies
Lasse Hallström,Comedies
Lasse Hallström,Romantic Movies
Lasse Hallström,Classic Movies
Lasse Hallström,Children & Family Movies
Paul Weitz,Dramas
Paul Weitz,International Movies
Paul Weitz,Comedies
Paul Weitz,Action & Adventure
Scott Hicks,Documentaries
Scott Hicks,International Movies
Scott Hicks,Comedies
Scott Hicks,Romantic Movies
Joe Berlinger,Documentaries
Joe Berlinger,Dramas
Joe Berlinger,Independent Movies
Joe Berlinger,Crime TV Shows
Joe Berlinger,TV Shows
Joe Berlinger,Docuseries
Kim Nguyen,Documentaries
Kim Nguyen,Dramas
Kim Nguyen,Independent Movies
Kim Nguyen,International Movies
Kim Nguyen,Romantic Movies
Guillermo del Toro,Dramas
Guillermo del Toro,International Movies
Guillermo del Toro,Romantic Movies
Guillermo del Toro,Action & Adventure
Jane Campion,Dramas
Jane Campion,Independent Movies
Jane Campion,Romantic Movies
Jane Campion,Thrillers
Jane Campion,Classic Movies
Hiroyuki Seshita,International Movies
Hiroyuki Seshita,Action & Adventure
Hiroyuki Seshita,Anime Features
Hiroyuki Seshita,TV Shows
Action & Adventure,McG
Action & Adventure,Youssef Chahine
Action & Adventure,Tsutomu Mizushima
Action & Adventure,Kobun Shizuno
Action & Adventure,Terry Gilliam
Action & Adventure,Ashutosh Gowariker
Action & Adventure,Jeremy Saulnier
Action & Adventure,Robert Altman
Action & Adventure,Navaniat Singh
Action & Adventure,Rohit Jugraj
Action & Adventure,Priyadarshan
Action & Adventure,Peter Chelsom
Lygia Barbosa da Silva,Documentaries
Lygia Barbosa da Silva,International Movies
Lygia Barbosa da Silva,LGBTQ Movies
Sion Sono,Dramas
Sion Sono,International Movies
Sion Sono,Thrillers
Sion Sono,Crime TV Shows
Sion Sono,International TV Shows
Sion Sono,TV Dramas
McG,Independent Movies
McG,Comedies
Rohit Jugraj,Dramas
Rohit Jugraj,International Movies
Rohit Jugraj,Comedies
Rohit Jugraj,Sports Movies
TV Action & Adventure,Thomas Astruc
TV Action & Adventure,Noam Murro
Stand-Up Comedy & Talk Shows,Seung-uk Jo
Crime TV Shows,Cosima Spender
Crime TV Shows,Jalil Lespert
Crime TV Shows,Mateo Gil
Crime TV Shows,Justin Webster
Crime TV Shows,Anurag Kashyap
Anurag Kashyap,Dramas
Anurag Kashyap,International Movies
Anurag Kashyap,Comedies
Anurag Kashyap,Romantic Movies
Anurag Kashyap,Thrillers
Anurag Kashyap,International TV Shows
Anurag Kashyap,TV Dramas
Brian De Palma,International Movies
Brian De Palma,Thrillers
Brian De Palma,Classic Movies
Philippe Aractingi,Documentaries
Philippe Aractingi,Dramas
Philippe Aractingi,Independent Movies
Philippe Aractingi,International Movies
Terry Gilliam,Dramas
Terry Gilliam,Comedies
Terry Gilliam,Classic Movies
Anime Features,Tsutomu Mizushima
Anime Features,Kobun Shizuno
Justin Webster,Documentaries
Justin Webster,International Movies
Justin Webster,International TV Shows
Justin Webster,Docuseries
Mike Newell,Dramas
Mike Newell,International Movies
Mike Newell,Comedies
Mike Newell,Romantic Movies
Mike Newell,Thrillers
Mike Newell,Classic Movies
Alastair Fothergill,Documentaries
Alastair Fothergill,British TV Shows
Alastair Fothergill,International TV Shows
Alastair Fothergill,Docuseries
Thrillers,Peter Chelsom
Thrillers,Martin Scorsese
Thrillers,Yorgos Lanthimos
Thrillers,David Pastor
Thrillers,Jalil Lespert
Thrillers,Priyadarshan
Thrillers,Jeremy Saulnier
Thrillers,Eli Roth
Hong Won-ki,International TV Shows
Hong Won-ki,TV Mysteries
Jalil Lespert,Dramas
Jalil Lespert,Independent Movies
Jalil Lespert,International Movies
Jalil Lespert,International TV Shows
Jalil Lespert,Docuseries
Gerardo Olivares,Documentaries
Gerardo Olivares,Dramas
Gerardo Olivares,Independent Movies
