id,Degree,Closeness,PageRank,Betweenness,Degree_norm,Closeness_norm,PageRank_norm,Betweenness_norm,Community,country,genres_list
Noah Baumbach,5,0.3816793893129771,0.0067590107945793825,0.0034157688692868383,0.0975609756097561,0.652563049570007,0.07987142267400248,0.010775806546872536,5,"Brazil, United Kingdom, United States","Comedies, Documentaries, Dramas, Independent Movies, Romantic Movies"
Masaaki Yuasa,6,0.3546099290780142,0.009746170405883024,0.011132135596356757,0.12195121951219512,0.559823592782117,0.1406993455075929,0.03511881050222796,1,Japan,"Anime Features, Anime Series, International TV Shows, Music & Musicals, Sci-Fi & Fantasy, TV Horror"
Cult Movies,7,0.31347962382445144,0.009316758813327141,0.0038558455316502465,0.14634146341463414,0.41891194793857406,0.13195518094504408,0.012164126764338399,2,,"Bong Joon Ho, Brian De Palma, Guillermo del Toro, Jeremy Saulnier, Quentin Tarantino, Terry Gilliam, Tim Burton"
Patricia Font,6,0.42735042735042733,0.009670068806309844,0.02877270811083346,0.12195121951219512,0.8090311587147031,0.13914967865724004,0.09076994032582344,4,Spain,"Comedies, Dramas, International Movies, International TV Shows, TV Comedies, TV Dramas"
Maroun Baghdadi,5,0.4,0.006829728449981312,0.003721297220812013,0.0975609756097561,0.7153291139240509,0.08131145556326737,0.011739664037413907,5,"Canada, France, Italy","Classic Movies, Documentaries, Dramas, Independent Movies, International Movies"
Àlex Pastor,5,0.3968253968253968,0.006827141016287168,0.003783060708344387,0.0975609756097561,0.7044529837251357,0.08125876731169593,0.011934510767031182,2,"Spain, United States","Horror Movies, Independent Movies, International Movies, Sci-Fi & Fantasy, Thrillers"
Vikramaditya Motwane,8,0.4424778761061947,0.010562301832555857,0.029187433663320092,0.17073170731707318,0.8608575109219225,0.157318336757966,0.09207828479954476,4,United States,"Comedies, Crime TV Shows, Dramas, Independent Movies, International Movies, International TV Shows, Sci-Fi & Fantasy, TV Dramas"
Jung-ah Im,3,0.29069767441860467,0.007899985276587472,0.010202020202020202,0.04878048780487805,0.3408614218428026,0.10310523565274561,0.03218455354890799,4,South Korea,"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows"
Music & Musicals,13,0.36101083032490977,0.01624348892422809,0.011109138640850726,0.2926829268292683,0.5817529589178816,0.2730050944081923,0.03504626146475407,0,,"Adam Shankman, Ashutosh Gowariker, Clint Eastwood, Justin G. Dyck, Martin Scorsese, Masaaki Yuasa, Navaniat Singh, Philippe Aractingi, Priyadarshan, Robert Vince, Rohit Jugraj, Scott Hicks, Tim Burton"
Tensai Okamura,5,0.3968253968253968,0.00789679943371691,0.012476769936430595,0.0975609756097561,0.7044529837251357,0.10304036191665293,0.03936076014208825,1,Japan,"Action & Adventure, Anime Features, Anime Series, International Movies, International TV Shows"
Justin G. Dyck,6,0.3968253968253968,0.007735844146233997,0.004525638924394099,0.12195121951219512,0.7044529837251357,0.09976280829359885,0.014277139764567565,0,"Canada, United States","Children & Family Movies, Comedies, Dramas, International Movies, Music & Musicals, Romantic Movies"
Bong Joon Ho,5,0.3875968992248062,0.006731911949930696,0.009174466342862104,0.0975609756097561,0.6728363261701503,0.0793196053472911,0.028942905174411337,2,"South Korea, United States","Action & Adventure, Comedies, Cult Movies, Dramas, International Movies"
Horror Movies,10,0.3508771929824561,0.013185345363259566,0.01733937845028155,0.21951219512195122,0.547035309793471,0.21073171610034466,0.05470094581143457,2,,"Anurag Kashyap, Brian De Palma, David Pastor, Eli Roth, Guillermo del Toro, Jeremy Saulnier, McG, Paul Weitz, Tim Burton, Àlex Pastor"
Ron Howard,7,0.4098360655737705,0.008792431912173241,0.007276532586879994,0.14634146341463414,0.7490272878190498,0.12127824350846494,0.022955448828305452,0,"France, Italy, United Kingdom, United States","Action & Adventure, Children & Family Movies, Comedies, Dramas, International Movies, Sci-Fi & Fantasy, Thrillers"
Ben Wheatley,6,0.3875968992248062,0.007678598851936328,0.00447673850635384,0.12195121951219512,0.6728363261701503,0.09859711485996103,0.014122872463404112,5,United Kingdom,"Action & Adventure, Comedies, Dramas, Independent Movies, Romantic Movies, Thrillers"
Quentin Tarantino,5,0.36496350364963503,0.006770141255193825,0.005239761962299583,0.0975609756097561,0.595294742677631,0.08009807370289146,0.01653000054104659,5,"Japan, United States","Action & Adventure, Classic Movies, Cult Movies, Dramas, Thrillers"
Raphael Erichsen,3,0.3472222222222222,0.004863293266830141,0.0009282626583747371,0.04878048780487805,0.5345134493670887,0.041268678094883195,0.002928412083520226,0,Brazil,"Documentaries, International Movies, Sports Movies"
TV Horror,3,0.29850746268656714,0.006375662109828627,0.0030939990153389507,0.04878048780487805,0.367617608161723,0.07206524314273836,0.0097607116058961,1,,"Eli Roth, Hong Won-ki, Masaaki Yuasa"
Tim Burton,7,0.3816793893129771,0.008977021694782603,0.008291810834941545,0.14634146341463414,0.652563049570007,0.12503706945467252,0.026158371043192647,2,"United Kingdom, United States","Children & Family Movies, Comedies, Cult Movies, Dramas, Horror Movies, Music & Musicals, Sci-Fi & Fantasy"
Clint Eastwood,7,0.3875968992248062,0.008938117782455592,0.005744477165678718,0.14634146341463414,0.6728363261701503,0.12424486398697761,0.018122237487106264,5,"Australia, United States","Action & Adventure, Classic Movies, Dramas, Music & Musicals, Sci-Fi & Fantasy, Sports Movies, Thrillers"
Spanish-Language TV Shows,1,0.29673590504451036,0.002836656112801748,0.0,0.0,0.3615482853172069,0.0,0.0,4,,Mateo Gil
Sci-Fi & Fantasy,12,0.35842293906810035,0.015095511190021952,0.02009821413453928,0.2682926829268293,0.5728868926092283,0.24962867328669208,0.06340430975841524,2,,"Clint Eastwood, David Pastor, Guillermo del Toro, Masaaki Yuasa, McG, Paul Weitz, Peter Chelsom, Ron Howard, Terry Gilliam, Tim Burton, Vikramaditya Motwane, Àlex Pastor"
Lasse Hallström,6,0.37037037037037035,0.007756149289280647,0.0032511303021579606,0.12195121951219512,0.6138185654008439,0.10017628458381543,0.010256417379330446,5,"United Kingdom, United States","Children & Family Movies, Classic Movies, Comedies, Dramas, Independent Movies, Romantic Movies"
Paul Weitz,6,0.4065040650406504,0.0077907187756025955,0.00441058389127086,0.12195121951219512,0.7376119172584131,0.1008802275664506,0.013914172940223011,2,"France, United Kingdom, United States","Action & Adventure, Comedies, Dramas, Horror Movies, International Movies, Sci-Fi & Fantasy"
Scott Hicks,5,0.3937007874015748,0.0068129194172315884,0.004079572033913669,0.0975609756097561,0.6937481311671486,0.08096917102542801,0.012869922033297105,0,"Australia, United States","Comedies, Documentaries, International Movies, Music & Musicals, Romantic Movies"
Joe Berlinger,6,0.3875968992248062,0.008699187663831095,0.007967532660213446,0.12195121951219512,0.6728363261701503,0.11937949865353001,0.02513536304354058,5,United States,"Crime TV Shows, Documentaries, Docuseries, Dramas, Independent Movies, TV Shows"
Kim Nguyen,5,0.4,0.006784203317814842,0.0038648254307586246,0.0975609756097561,0.7153291139240509,0.08038442132782439,0.012192455863673074,5,"Canada, France, Italy, United States","Documentaries, Dramas, Independent Movies, International Movies, Romantic Movies"
Guillermo del Toro,7,0.4065040650406504,0.008925074168488206,0.01329186351411136,0.14634146341463414,0.7376119172584131,0.1239792551655149,0.041932155059836294,2,"Canada, Spain, United States","Action & Adventure, Cult Movies, Dramas, Horror Movies, International Movies, Romantic Movies, Sci-Fi & Fantasy"
Jane Campion,5,0.36496350364963503,0.006689697163523673,0.0027846197777990473,0.0975609756097561,0.595294742677631,0.07845998011659168,0.008784705634495297,5,"Australia, France, United Kingdom, United States","Classic Movies, Dramas, Independent Movies, Romantic Movies, Thrillers"
Hiroyuki Seshita,4,0.3546099290780142,0.006356708283454069,0.0038778216999041416,0.07317073170731707,0.559823592782117,0.07167928389109672,0.01223345550021242,1,Japan,"Action & Adventure, Anime Features, International Movies, TV Shows"
Action & Adventure,21,0.37735849056603776,0.025626073955462014,0.050401636910018345,0.4878048780487805,0.637759732505374,0.46406390361940336,0.15900323170913586,2,,"Ashutosh Gowariker, Ben Wheatley, Bong Joon Ho, Clint Eastwood, Guillermo del Toro, Hiroyuki Seshita, Jeremy Saulnier, Kobun Shizuno, McG, Navaniat Singh, Paul Weitz, Peter Chelsom, Priyadarshan, Quentin Tarantino, Robert Altman, Rohit Jugraj, Ron Howard, Tensai Okamura, Terry Gilliam, Tsutomu Mizushima, Youssef Chahine"
Lygia Barbosa da Silva,3,0.3424657534246575,0.005497635479618995,0.0031262623258207166,0.04878048780487805,0.5182178775793307,0.054185871747207,0.009862493431779942,0,Brazil,"Documentaries, International Movies, LGBTQ Movies"
Sion Sono,6,0.42735042735042733,0.00844867070710015,0.020634145027884354,0.12195121951219512,0.8090311587147031,0.11427818901648468,0.06509502357722959,4,Japan,"Crime TV Shows, Dramas, International Movies, International TV Shows, TV Dramas, Thrillers"
McG,5,0.3787878787878788,0.0067981488250463675,0.0017584284347103268,0.0975609756097561,0.6426567894131187,0.08066839552007865,0.005547355621551327,2,"France, Italy, United Kingdom, United States","Action & Adventure, Comedies, Horror Movies, Independent Movies, Sci-Fi & Fantasy"
Rohit Jugraj,6,0.3968253968253968,0.007830515283474202,0.005068426922246285,0.12195121951219512,0.7044529837251357,0.10169060907425492,0.01598948585256286,0,"Australia, Canada","Action & Adventure, Comedies, Dramas, International Movies, Music & Musicals, Sports Movies"
TV Action & Adventure,2,0.303951367781155,0.006771282931558976,0.030606060606060605,0.024390243902439025,0.3862683236504944,0.08012132180840867,0.09655366064672398,3,,"Noam Murro, Thomas Astruc"
Stand-Up Comedy & Talk Shows,2,0.22675736961451248,0.005961591757096799,0.0,0.024390243902439025,0.12180315164040308,0.06363347425823031,0.0,4,,"Jung-ah Im, Seung-uk Jo"
Crime TV Shows,8,0.3389830508474576,0.01120333308785169,0.008433904722975933,0.17073170731707318,0.5062862046771079,0.17037174025990934,0.026606637980314544,4,,"Anurag Kashyap, Cosima Spender, Jalil Lespert, Joe Berlinger, Justin Webster, Mateo Gil, Sion Sono, Vikramaditya Motwane"
Anurag Kashyap,9,0.44642857142857145,0.011624826719389438,0.039361288199505885,0.1951219512195122,0.8743925180831827,0.17895467034406337,0.12417398345870173,4,United States,"Comedies, Crime TV Shows, Dramas, Horror Movies, International Movies, International TV Shows, Romantic Movies, TV Dramas, Thrillers"
Brian De Palma,5,0.37037037037037035,0.006904604064012782,0.007676853053505173,0.0975609756097561,0.6138185654008439,0.08283615750928636,0.024218349238193937,2,"France, Italy, United Kingdom, United States","Classic Movies, Cult Movies, Horror Movies, International Movies, Thrillers"
Philippe Aractingi,5,0.4065040650406504,0.006817275067307407,0.003433547904908389,0.0975609756097561,0.7376119172584131,0.08105786569902344,0.010831894489522995,5,"France, United Kingdom","Documentaries, Dramas, Independent Movies, International Movies, Music & Musicals"
Terry Gilliam,6,0.3816793893129771,0.007824544603316306,0.006883650130371459,0.12195121951219512,0.652563049570007,0.1015690273313396,0.02171601328421375,2,"Canada, France, United Kingdom, United States","Action & Adventure, Classic Movies, Comedies, Cult Movies, Dramas, Sci-Fi & Fantasy"
Anime Features,5,0.3115264797507788,0.00825182974111754,0.003162442429980784,0.0975609756097561,0.41222051342718563,0.11026989061690427,0.009976631658982646,1,,"Hiroyuki Seshita, Kobun Shizuno, Masaaki Yuasa, Tensai Okamura, Tsutomu Mizushima"
Justin Webster,5,0.3875968992248062,0.0076582716353935315,0.009031942202447126,0.0975609756097561,0.6728363261701503,0.0981831890842482,0.0284932809099652,4,"Spain, United States","Crime TV Shows, Documentaries, Docuseries, International Movies, International TV Shows"
Mike Newell,6,0.4032258064516129,0.007708028896875951,0.00631412543701,0.12195121951219512,0.7263806655777869,0.09919640272385767,0.019919320312826803,5,"France, United Kingdom, United States","Classic Movies, Comedies, Dramas, International Movies, Romantic Movies, Thrillers"
Alastair Fothergill,4,0.32051282051282054,0.007358773429705772,0.00549626223118386,0.07317073170731707,0.4430075462512173,0.09208446785240103,0.017339187983900366,4,"Canada, Spain, United Kingdom, United States","British TV Shows, Documentaries, Docuseries, International TV Shows"
Thrillers,18,0.3831417624521073,0.02204567000079518,0.04344176855078661,0.4146341463414634,0.6575731121780883,0.39115566843724986,0.1370467709822018,5,,"Anurag Kashyap, Ben Wheatley, Brian De Palma, Clint Eastwood, David Pastor, Eli Roth, Jalil Lespert, Jane Campion, Jeremy Saulnier, Martin Scorsese, Mike Newell, Peter Chelsom, Priyadarshan, Quentin Tarantino, Ron Howard, Sion Sono, Yorgos Lanthimos, Àlex Pastor"
Hong Won-ki,3,0.29411764705882354,0.006761971844640949,0.0034323091181386696,0.04878048780487805,0.35257818317200307,0.07993171892465134,0.010827986459707702,1,South Korea,"International TV Shows, TV Horror, TV Mysteries"
Jalil Lespert,7,0.43478260869565216,0.009600155509697214,0.022366298848319213,0.14634146341463414,0.8344936708860761,0.13772602503146708,0.07055949005394682,4,France,"Crime TV Shows, Docuseries, Dramas, Independent Movies, International Movies, International TV Shows, Thrillers"
Gerardo Olivares,6,0.4065040650406504,0.007810386811539864,0.005828683620060563,0.12195121951219512,0.7376119172584131,0.10128073036106301,0.01838788557312745,5,Spain,"Comedies, Documentaries, Dramas, Independent Movies, International Movies, Romantic Movies"
