id,type
Noah Baumbach,A
Masaaki Yuasa,A
Cult Movies,B
Patricia Font,A
Maroun Baghdadi,A
Àlex Pastor,A
Vikramaditya Motwane,A
Jung-ah Im,A
Music & Musicals,B
Tensai Okamura,A
Justin G. Dyck,A
Bong Joon Ho,A
Horror Movies,B
Ron Howard,A
Ben Wheatley,A
Quentin Tarantino,A
Raphael Erichsen,A
TV Horror,B
Tim Burton,A
Clint Eastwood,A
Spanish-Language TV Shows,B
Sci-Fi & Fantasy,B
Lasse Hallström,A
Paul Weitz,A
Scott Hicks,A
Joe Berlinger,A
Kim Nguyen,A
Guillermo del Toro,A
Jane Campion,A
Hiroyuki Seshita,A
Action & Adventure,B
Lygia Barbosa da Silva,A
Sion Sono,A
McG,A
Rohit Jugraj,A
TV Action & Adventure,B
Stand-Up Comedy & Talk Shows,B
Crime TV Shows,B
Anurag Kashyap,A
Brian De Palma,A
Philippe Aractingi,A
Terry Gilliam,A
Anime Features,B
Justin Webster,A
Mike Newell,A
Alastair Fothergill,A
Thrillers,B
Hong Won-ki,A
Jalil Lespert,A
Gerardo Olivares,A
Romantic Movies,B
TV Comedies,B
Science & Nature TV,B
Priyadarshan,A
International TV Shows,B
Navaniat Singh,A
Anime Series,B
Eli Roth,A
Estela Renner,A
Korean TV Shows,B
Docuseries,B
Sports Movies,B
TV Mysteries,B
Robert Altman,A
Independent Movies,B
Movies,B
Bruno Garotti,A
Robert Vince,A
Peter Chelsom,A
International Movies,B
TV Shows,B
Noam Murro,A
Thomas Astruc,A
Sean Cisterna,A
Luis Ara,A
Youssef Chahine,A
Adam Shankman,A
Clay Glen,A
Documentaries,B
TV Dramas,B
Fernando Ayllón,A
Jeremy Saulnier,A
Martin Scorsese,A
Jun Lana,A
Tsutomu Mizushima,A
Kids' TV,B
Mateo Gil,A
David Pastor,A
TV Thrillers,B
Cosima Spender,A
Yorgos Lanthimos,A
Dramas,B
LGBTQ Movies,B
Stand-Up Comedy,B
Children & Family Movies,B
Comedies,B
Classic Movies,B
Ashutosh Gowariker,A
Kobun Shizuno,A
Seung-uk Jo,A
British TV Shows,B
