id,country,genres_list,Community,Degree_norm,PageRank_norm,Closeness_norm,Betweenness_norm
Noah Baumbach,"Brazil, United Kingdom, United States","Comedies, Documentaries, Dramas, Independent Movies, Romantic Movies",5,0.0975609756097561,0.07987142267400248,0.652563049570007,0.010775806546872536
Masaaki Yuasa,Japan,"Anime Features, Anime Series, International TV Shows, Music & Musicals, Sci-Fi & Fantasy, TV Horror",1,0.12195121951219512,0.1406993455075929,0.559823592782117,0.03511881050222796
Cult Movies,,"Bong Joon Ho, Brian De Palma, Guillermo del Toro, Jeremy Saulnier, Quentin Tarantino, Terry Gilliam, Tim Burton",2,0.14634146341463414,0.13195518094504408,0.41891194793857406,0.012164126764338399
Patricia Font,Spain,"Comedies, Dramas, International Movies, International TV Shows, TV Comedies, TV Dramas",4,0.12195121951219512,0.13914967865724004,0.8090311587147031,0.09076994032582344
Maroun Baghdadi,"Canada, France, Italy","Classic Movies, Documentaries, Dramas, Independent Movies, International Movies",5,0.0975609756097561,0.08131145556326737,0.7153291139240509,0.011739664037413907
Àlex Pastor,"Spain, United States","Horror Movies, Independent Movies, International Movies, Sci-Fi & Fantasy, Thrillers",2,0.0975609756097561,0.08125876731169593,0.7044529837251357,0.011934510767031182
Vikramaditya Motwane,United States,"Comedies, Crime TV Shows, Dramas, Independent Movies, International Movies, International TV Shows, Sci-Fi & Fantasy, TV Dramas",4,0.17073170731707318,0.157318336757966,0.8608575109219225,0.09207828479954476
Jung-ah Im,South Korea,"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows",4,0.04878048780487805,0.10310523565274561,0.3408614218428026,0.03218455354890799
Music & Musicals,,"Adam Shankman, Ashutosh Gowariker, Clint Eastwood, Justin G. Dyck, Martin Scorsese, Masaaki Yuasa, Navaniat Singh, Philippe Aractingi, Priyadarshan, Robert Vince, Rohit Jugraj, Scott Hicks, Tim Burton",0,0.2926829268292683,0.2730050944081923,0.5817529589178816,0.03504626146475407
Tensai Okamura,Japan,"Action & Adventure, Anime Features, Anime Series, International Movies, International TV Shows",1,0.0975609756097561,0.10304036191665293,0.7044529837251357,0.03936076014208825
Justin G. Dyck,"Canada, United States","Children & Family Movies, Comedies, Dramas, International Movies, Music & Musicals, Romantic Movies",0,0.12195121951219512,0.09976280829359885,0.7044529837251357,0.014277139764567565
Bong Joon Ho,"South Korea, United States","Action & Adventure, Comedies, Cult Movies, Dramas, International Movies",2,0.0975609756097561,0.0793196053472911,0.6728363261701503,0.028942905174411337
Horror Movies,,"Anurag Kashyap, Brian De Palma, David Pastor, Eli Roth, Guillermo del Toro, Jeremy Saulnier, McG, Paul Weitz, Tim Burton, Àlex Pastor",2,0.21951219512195122,0.21073171610034466,0.547035309793471,0.05470094581143457
Ron Howard,"France, Italy, United Kingdom, United States","Action & Adventure, Children & Family Movies, Comedies, Dramas, International Movies, Sci-Fi & Fantasy, Thrillers",0,0.14634146341463414,0.12127824350846494,0.7490272878190498,0.022955448828305452
Ben Wheatley,United Kingdom,"Action & Adventure, Comedies, Dramas, Independent Movies, Romantic Movies, Thrillers",5,0.12195121951219512,0.09859711485996103,0.6728363261701503,0.014122872463404112
Quentin Tarantino,"Japan, United States","Action & Adventure, Classic Movies, Cult Movies, Dramas, Thrillers",5,0.0975609756097561,0.08009807370289146,0.595294742677631,0.01653000054104659
Raphael Erichsen,Brazil,"Documentaries, International Movies, Sports Movies",0,0.04878048780487805,0.041268678094883195,0.5345134493670887,0.002928412083520226
TV Horror,,"Eli Roth, Hong Won-ki, Masaaki Yuasa",1,0.04878048780487805,0.07206524314273836,0.367617608161723,0.0097607116058961
Tim Burton,"United Kingdom, United States","Children & Family Movies, Comedies, Cult Movies, Dramas, Horror Movies, Music & Musicals, Sci-Fi & Fantasy",2,0.14634146341463414,0.12503706945467252,0.652563049570007,0.026158371043192647
Clint Eastwood,"Australia, United States","Action & Adventure, Classic Movies, Dramas, Music & Musicals, Sci-Fi & Fantasy, Sports Movies, Thrillers",5,0.14634146341463414,0.12424486398697761,0.6728363261701503,0.018122237487106264
Spanish-Language TV Shows,,Mateo Gil,4,0.0,0.0,0.3615482853172069,0.0
Sci-Fi & Fantasy,,"Clint Eastwood, David Pastor, Guillermo del Toro, Masaaki Yuasa, McG, Paul Weitz, Peter Chelsom, Ron Howard, Terry Gilliam, Tim Burton, Vikramaditya Motwane, Àlex Pastor",2,0.2682926829268293,0.24962867328669208,0.5728868926092283,0.06340430975841524
Lasse Hallström,"United Kingdom, United States","Children & Family Movies, Classic Movies, Comedies, Dramas, Independent Movies, Romantic Movies",5,0.12195121951219512,0.10017628458381543,0.6138185654008439,0.010256417379330446
