id,Degree,Closeness,PageRank,Betweenness,Degree_norm,Closeness_norm,PageRank_norm,Betweenness_norm,country,genres_list
Priyadarshan,5,0.5072463768115942,0.019596800648388254,0.008914842107248775,0.05555555555555555,0.2560386473429954,0.04921937366558207,0.02948798539252959,United Kingdom,"Action & Adventure, Comedies, Dramas, International Movies, Romantic Movies"
Jeremy Saulnier,5,0.5072463768115942,0.019683726241943936,0.008438176056131043,0.05555555555555555,0.2560386473429954,0.05062000906443086,0.027056593998816634,United States,"Action & Adventure, Comedies, Cult Movies, Dramas, Horror Movies"
Lilly Wachowski,4,0.49295774647887325,0.016542170389981136,0.004974084803823422,0.0,0.1866197183098593,0.0,0.009386861408993941,"Australia, United States","Action & Adventure, Cult Movies, Dramas, Sci-Fi & Fantasy"
Navaniat Singh,5,0.5072463768115942,0.019596800648388254,0.008914842107248775,0.05555555555555555,0.2560386473429954,0.04921937366558207,0.02948798539252959,Canada,"Action & Adventure, Comedies, Dramas, International Movies, Romantic Movies"
Guillermo del Toro,7,0.5384615384615384,0.02604767302884272,0.021221277997595475,0.16666666666666666,0.4076923076923077,0.15316252596321578,0.09226099438049042,"Canada, Spain, United States","Action & Adventure, Cult Movies, Dramas, Horror Movies, International Movies, Romantic Movies, Sci-Fi & Fantasy"
Don Michael Paul,5,0.5072463768115942,0.01959035451606665,0.005417873640909639,0.05555555555555555,0.2560386473429954,0.04911550689003316,0.011650551798916003,United States,"Action & Adventure, Comedies, Dramas, Horror Movies, Sci-Fi & Fantasy"
Cult Movies,11,0.4666666666666667,0.04146606314704873,0.04011056204787086,0.3888888888888889,0.058888888888889004,0.4015996330275028,0.18861197755947787,,"Bong Joon Ho, Brian De Palma, Guillermo del Toro, Ivan Reitman, Jeremy Saulnier, Kevin Smith, Lilly Wachowski, Quentin Tarantino, Sam Raimi, Terry Gilliam, Tim Burton"
Sergio Leone,4,0.49295774647887325,0.016641578667425515,0.006678757269835907,0.0,0.1866197183098593,0.00160176935965342,0.018082101930619605,"Italy, United States","Action & Adventure, Classic Movies, Dramas, International Movies"
Dramas,22,0.660377358490566,0.07826788036697249,0.1921555435981202,1.0,1.0,0.9945887152035047,0.964167229987584,,"Ashutosh Gowariker, Bong Joon Ho, Clint Eastwood, Don Michael Paul, Guillermo del Toro, Jeremy Saulnier, Kevin Smith, Lilly Wachowski, Mike Newell, Navaniat Singh, Nicolás López, Paul Weitz, Peter Chelsom, Peyton Reed, Priyadarshan, Quentin Tarantino, Ron Howard, Sergio Leone, Steven Spielberg, Terry Gilliam, Tim Burton, Youssef Chahine"
Bong Joon Ho,5,0.5072463768115942,0.019612106137045844,0.010296858350471831,0.05555555555555555,0.2560386473429954,0.049465991587112484,0.036537412117727826,"South Korea, United States","Action & Adventure, Comedies, Cult Movies, Dramas, International Movies"
Action & Adventure,22,0.660377358490566,0.07860371304921143,0.19918043684508738,1.0,1.0,1.0,1.0,,"Ashutosh Gowariker, Bong Joon Ho, Clint Eastwood, Don Michael Paul, Guillermo del Toro, Jeremy Saulnier, Lilly Wachowski, McG, Navaniat Singh, Nicolás López, Paul Weitz, Peter Chelsom, Peyton Reed, Priyadarshan, Quentin Tarantino, Renny Harlin, Ron Howard, Sam Raimi, Sergio Leone, Steven Spielberg, Terry Gilliam, Youssef Chahine"
Horror Movies,11,0.4666666666666667,0.041337873729213125,0.041042134420472436,0.3888888888888889,0.058888888888889004,0.3995341120568193,0.19336376771540148,,"Brian De Palma, Don Michael Paul, Guillermo del Toro, Jeremy Saulnier, Kevin Smith, McG, Nicolás López, Paul Weitz, Renny Harlin, Sam Raimi, Tim Burton"
Ron Howard,5,0.5072463768115942,0.01951873441116856,0.006871711318622366,0.05555555555555555,0.2560386473429954,0.047961489412714844,0.019066327286088845,"United Kingdom, United States","Action & Adventure, Comedies, Dramas, International Movies, Sci-Fi & Fantasy"
Ivan Reitman,5,0.5072463768115942,0.020019960425549252,0.013203897182770744,0.05555555555555555,0.2560386473429954,0.05603776326773068,0.05136571629728259,"United Kingdom, United States","Classic Movies, Comedies, Cult Movies, Romantic Movies, Sci-Fi & Fantasy"
Peter Chelsom,5,0.5072463768115942,0.019649419025256656,0.008867363267008708,0.05555555555555555,0.2560386473429954,0.05006721557562483,0.02924580400941561,"Italy, United States","Action & Adventure, Dramas, International Movies, Romantic Movies, Sci-Fi & Fantasy"
Kevin Smith,5,0.5072463768115942,0.01983565490138421,0.010729854412525497,0.05555555555555555,0.2560386473429954,0.05306804133901499,0.038746050421882734,United States,"Comedies, Cult Movies, Dramas, Horror Movies, Romantic Movies"
