id,type
Priyadarshan,A
Jeremy Saulnier,A
Lilly Wachowski,A
Navaniat Singh,A
Guillermo del Toro,A
Don Michael Paul,A
Cult Movies,B
Sergio Leone,A
Dramas,B
Bong Joon Ho,A
Action & Adventure,B
Horror Movies,B
Ron Howard,A
Ivan Reitman,A
Peter Chelsom,A
Kevin Smith,A
Quentin Tarantino,A
McG,A
International Movies,B
Steven Spielberg,A
Tim Burton,A
Youssef Chahine,A
Terry Gilliam,A
Brian De Palma,A
Clint Eastwood,A
Peyton Reed,A
Comedies,B
Sam Raimi,A
Classic Movies,B
Mike Newell,A
Ashutosh Gowariker,A
Nicolás López,A
Renny Harlin,A
Sci-Fi & Fantasy,B
Romantic Movies,B
Paul Weitz,A
