id,country,genres_list,Degree_norm,PageRank_norm,Closeness_norm,Betweenness_norm
Priyadarshan,United Kingdom,"Action & Adventure, Comedies, Dramas, International Movies, Romantic Movies",0.05555555555555555,0.04921937366558207,0.2560386473429954,0.02948798539252959
Jeremy Saulnier,United States,"Action & Adventure, Comedies, Cult Movies, Dramas, Horror Movies",0.05555555555555555,0.05062000906443086,0.2560386473429954,0.027056593998816634
Lilly Wachowski,"Australia, United States","Action & Adventure, Cult Movies, Dramas, Sci-Fi & Fantasy",0.0,0.0,0.1866197183098593,0.009386861408993941
Navaniat Singh,Canada,"Action & Adventure, Comedies, Dramas, International Movies, Romantic Movies",0.05555555555555555,0.04921937366558207,0.2560386473429954,0.02948798539252959
Guillermo del Toro,"Canada, Spain, United States","Action & Adventure, Cult Movies, Dramas, Horror Movies, International Movies, Romantic Movies, Sci-Fi & Fantasy",0.16666666666666666,0.15316252596321578,0.4076923076923077,0.09226099438049042
Don Michael Paul,United States,"Action & Adventure, Comedies, Dramas, Horror Movies, Sci-Fi & Fantasy",0.05555555555555555,0.04911550689003316,0.2560386473429954,0.011650551798916003
Cult Movies,,"Bong Joon Ho, Brian De Palma, Guillermo del Toro, Ivan Reitman, Jeremy Saulnier, Kevin Smith, Lilly Wachowski, Quentin Tarantino, Sam Raimi, Terry Gilliam, Tim Burton",0.3888888888888889,0.4015996330275028,0.058888888888889004,0.18861197755947787
Sergio Leone,"Italy, United States","Action & Adventure, Classic Movies, Dramas, International Movies",0.0,0.00160176935965342,0.1866197183098593,0.018082101930619605
Dramas,,"Ashutosh Gowariker, Bong Joon Ho, Clint Eastwood, Don Michael Paul, Guillermo del Toro, Jeremy Saulnier, Kevin Smith, Lilly Wachowski, Mike Newell, Navaniat Singh, Nicolás López, Paul Weitz, Peter Chelsom, Peyton Reed, Priyadarshan, Quentin Tarantino, Ron Howard, Sergio Leone, Steven Spielberg, Terry Gilliam, Tim Burton, Youssef Chahine",1.0,0.9945887152035047,1.0,0.964167229987584
Bong Joon Ho,"South Korea, United States","Action & Adventure, Comedies, Cult Movies, Dramas, International Movies",0.05555555555555555,0.049465991587112484,0.2560386473429954,0.036537412117727826
Action & Adventure,,"Ashutosh Gowariker, Bong Joon Ho, Clint Eastwood, Don Michael Paul, Guillermo del Toro, Jeremy Saulnier, Lilly Wachowski, McG, Navaniat Singh, Nicolás López, Paul Weitz, Peter Chelsom, Peyton Reed, Priyadarshan, Quentin Tarantino, Renny Harlin, Ron Howard, Sam Raimi, Sergio Leone, Steven Spielberg, Terry Gilliam, Youssef Chahine",1.0,1.0,1.0,1.0
Horror Movies,,"Brian De Palma, Don Michael Paul, Guillermo del Toro, Jeremy Saulnier, Kevin Smith, McG, Nicolás López, Paul Weitz, Renny Harlin, Sam Raimi, Tim Burton",0.3888888888888889,0.3995341120568193,0.058888888888889004,0.19336376771540148
Ron Howard,"United Kingdom, United States","Action & Adventure, Comedies, Dramas, International Movies, Sci-Fi & Fantasy",0.05555555555555555,0.047961489412714844,0.2560386473429954,0.019066327286088845
Ivan Reitman,"United Kingdom, United States","Classic Movies, Comedies, Cult Movies, Romantic Movies, Sci-Fi & Fantasy",0.05555555555555555,0.05603776326773068,0.2560386473429954,0.05136571629728259
Peter Chelsom,"Italy, United States","Action & Adventure, Dramas, International Movies, Romantic Movies, Sci-Fi & Fantasy",0.05555555555555555,0.05006721557562483,0.2560386473429954,0.02924580400941561
Kevin Smith,United States,"Comedies, Cult Movies, Dramas, Horror Movies, Romantic Movies",0.05555555555555555,0.05306804133901499,0.2560386473429954,0.038746050421882734
Quentin Tarantino,"Japan, United States","Action & Adventure, Classic Movies, Cult Movies, Dramas",0.0,0.002915395275615476,0.1866197183098593,0.02282228162830008
McG,"France, Italy, United Kingdom, United States","Action & Adventure, Comedies, Horror Movies, Sci-Fi & Fantasy",0.0,0.0003917700401676738,0.1866197183098593,0.0
International Movies,,"Ashutosh Gowariker, Bong Joon Ho, Brian De Palma, Guillermo del Toro, Mike Newell, Navaniat Singh, Nicolás López, Paul Weitz, Peter Chelsom, Priyadarshan, Ron Howard, Sergio Leone, Youssef Chahine",0.5,0.5029896572520709,0.1866197183098593,0.25894090375476725
Steven Spielberg,"Canada, United Kingdom, United States","Action & Adventure, Classic Movies, Dramas, Sci-Fi & Fantasy",0.0,0.001410893101217727,0.1866197183098593,0.01219099192338958
Tim Burton,"United Kingdom, United States","Comedies, Cult Movies, Dramas, Horror Movies, Sci-Fi & Fantasy",0.05555555555555555,0.05181015708614771,0.2560386473429954,0.022237045424905958
Youssef Chahine,France,"Action & Adventure, Classic Movies, Dramas, International Movies, Romantic Movies",0.05555555555555555,0.05298261085124031,0.2560386473429954,0.04512083382084899
Terry Gilliam,"Canada, France, United Kingdom, United States","Action & Adventure, Classic Movies, Comedies, Cult Movies, Dramas, Sci-Fi & Fantasy",0.1111111111111111,0.10231346784301204,0.3296019900497511,0.0654135184634845
Brian De Palma,"France, Italy, United Kingdom, United States","Classic Movies, Cult Movies, Horror Movies, International Movies",0.0,0.0070405336803762006,0.12100456621004561,0.024988245980919973
Clint Eastwood,"Australia, United States","Action & Adventure, Classic Movies, Dramas, Sci-Fi & Fantasy",0.0,0.001410893101217727,0.1866197183098593,0.01219099192338958
Peyton Reed,"United Kingdom, United States","Action & Adventure, Comedies, Dramas, Romantic Movies, Sci-Fi & Fantasy",0.05555555555555555,0.049028497407146376,0.1866197183098593,0.02618365038461859
Comedies,,"Ashutosh Gowariker, Bong Joon Ho, Don Michael Paul, Ivan Reitman, Jeremy Saulnier, Kevin Smith, McG, Mike Newell, Navaniat Singh, Nicolás López, Paul Weitz, Peyton Reed, Priyadarshan, Renny Harlin, Ron Howard, Terry Gilliam, Tim Burton",0.7222222222222222,0.7189950719212452,0.490740740740741,0.5431677270240383
Sam Raimi,United States,"Action & Adventure, Classic Movies, Cult Movies, Horror Movies, Sci-Fi & Fantasy",0.05555555555555555,0.055782466638943255,0.2560386473429954,0.0349791417801199
Classic Movies,,"Brian De Palma, Clint Eastwood, Ivan Reitman, Mike Newell, Quentin Tarantino, Sam Raimi, Sergio Leone, Steven Spielberg, Terry Gilliam, Youssef Chahine",0.3333333333333333,0.35745798863101214,0.0,0.18858114511451868
Mike Newell,"France, United Kingdom, United States","Classic Movies, Comedies, Dramas, International Movies, Romantic Movies",0.05555555555555555,0.0533249169629144,0.2560386473429954,0.047680257212876775
Ashutosh Gowariker,United Kingdom,"Action & Adventure, Comedies, Dramas, International Movies, Romantic Movies",0.05555555555555555,0.04921937366558207,0.2560386473429954,0.02948798539252959
Nicolás López,United States,"Action & Adventure, Comedies, Dramas, Horror Movies, International Movies",0.05555555555555555,0.0493063831484688,0.2560386473429954,0.021029963364642724
Renny Harlin,"France, Italy, Japan, United States","Action & Adventure, Comedies, Horror Movies, Sci-Fi & Fantasy",0.0,0.0003917700401676738,0.1866197183098593,0.0
Sci-Fi & Fantasy,,"Clint Eastwood, Don Michael Paul, Guillermo del Toro, Ivan Reitman, Lilly Wachowski, McG, Paul Weitz, Peter Chelsom, Peyton Reed, Renny Harlin, Ron Howard, Sam Raimi, Steven Spielberg, Terry Gilliam, Tim Burton",0.6111111111111112,0.6180111417108127,0.3296019900497511,0.39351496968330213
Romantic Movies,,"Ashutosh Gowariker, Guillermo del Toro, Ivan Reitman, Kevin Smith, Mike Newell, Navaniat Singh, Peter Chelsom, Peyton Reed, Priyadarshan, Youssef Chahine",0.3333333333333333,0.33795785895162067,0.0,0.13786608317306046
Paul Weitz,"France, United Kingdom, United States","Action & Adventure, Comedies, Dramas, Horror Movies, International Movies, Sci-Fi & Fantasy",0.1111111111111111,0.0994293403871884,0.3296019900497511,0.03590197570000754
