Community,NumActors
372,6438
600,3182
269,1323
840,1311
685,1299
409,1232
426,1129
437,992
469,933
343,794
58,674
256,630
570,623
265,622
605,622
49,571
287,537
929,489
165,468
596,443
556,424
281,420
964,411
371,391
921,386
147,351
935,321
624,306
50,305
603,298
10,287
375,278
386,265
161,261
362,243
520,243
641,229
285,227
304,227
414,223
241,214
232,206
671,186
404,168
492,167
321,160
527,153
114,144
38,127
654,122
789,112
323,69
158,56
190,45
388,35
698,32
103,26
213,26
717,25
402,24
579,24
611,23
149,22
181,22
250,22
517,21
72,20
87,19
277,18
358,18
428,18
79,17
470,17
573,17
46,16
100,16
230,16
306,16
359,16
26,15
41,15
128,15
197,15
261,15
13,14
134,14
146,14
167,14
332,14
349,14
547,14
925,14
155,13
218,13
297,13
461,13
531,13
591,13
770,13
35,12
40,12
112,12
160,12
162,12
201,12
234,12
335,12
337,12
529,12
722,12
794,12
939,12
966,12
9,11
56,11
68,11
204,11
205,11
209,11
327,11
354,11
490,11
508,11
809,11
851,11
903,11
947,11
16,10
33,10
36,10
42,10
59,10
65,10
78,10
80,10
89,10
93,10
99,10
104,10
110,10
113,10
125,10
129,10
133,10
142,10
159,10
166,10
171,10
172,10
174,10
178,10
199,10
220,10
233,10
236,10
240,10
247,10
264,10
268,10
275,10
289,10
290,10
301,10
305,10
311,10
315,10
317,10
329,10
336,10
373,10
389,10
421,10
496,10
504,10
533,10
576,10
637,10
680,10
703,10
751,10
756,10
765,10
820,10
843,10
4,9
18,9
19,9
25,9
30,9
75,9
83,9
101,9
109,9
111,9
150,9
163,9
170,9
183,9
184,9
185,9
212,9
231,9
280,9
313,9
330,9
347,9
350,9
378,9
418,9
491,9
708,9
969,9
7,8
20,8
21,8
28,8
32,8
39,8
54,8
64,8
98,8
102,8
107,8
120,8
122,8
123,8
124,8
132,8
137,8
148,8
153,8
156,8
169,8
189,8
192,8
210,8
215,8
217,8
221,8
222,8
286,8
291,8
295,8
300,8
314,8
318,8
319,8
331,8
346,8
356,8
357,8
366,8
374,8
387,8
395,8
420,8
434,8
438,8
445,8
452,8
474,8
487,8
497,8
542,8
548,8
580,8
606,8
646,8
665,8
844,8
0,7
11,7
43,7
52,7
63,7
67,7
76,7
88,7
97,7
117,7
136,7
144,7
145,7
151,7
177,7
180,7
202,7
259,7
272,7
274,7
334,7
351,7
364,7
367,7
385,7
405,7
436,7
462,7
505,7
558,7
587,7
627,7
694,7
912,7
6,6
8,6
23,6
27,6
44,6
48,6
51,6
66,6
71,6
81,6
91,6
92,6
94,6
121,6
126,6
127,6
138,6
157,6
175,6
194,6
207,6
216,6
224,6
226,6
243,6
246,6
248,6
251,6
258,6
271,6
293,6
342,6
353,6
369,6
403,6
413,6
431,6
442,6
450,6
495,6
498,6
503,6
507,6
510,6
545,6
567,6
620,6
681,6
692,6
700,6
730,6
784,6
793,6
835,6
857,6
877,6
918,6
959,6
34,5
37,5
82,5
95,5
119,5
238,5
252,5
262,5
266,5
296,5
322,5
341,5
370,5
377,5
379,5
383,5
391,5
399,5
425,5
447,5
473,5
494,5
511,5
512,5
521,5
563,5
565,5
566,5
569,5
574,5
610,5
649,5
678,5
706,5
720,5
723,5
761,5
778,5
799,5
823,5
901,5
914,5
951,5
962,5
963,5
975,5
29,4
47,4
61,4
105,4
152,4
193,4
195,4
198,4
276,4
320,4
328,4
390,4
422,4
424,4
459,4
468,4
493,4
506,4
532,4
551,4
553,4
577,4
584,4
612,4
614,4
639,4
657,4
661,4
674,4
688,4
709,4
719,4
754,4
787,4
788,4
790,4
818,4
829,4
849,4
876,4
880,4
887,4
940,4
972,4
2,3
55,3
77,3
85,3
108,3
115,3
141,3
164,3
206,3
245,3
278,3
288,3
294,3
298,3
310,3
326,3
363,3
365,3
401,3
417,3
479,3
484,3
502,3
516,3
524,3
536,3
571,3
575,3
586,3
621,3
629,3
636,3
659,3
711,3
736,3
772,3
797,3
800,3
801,3
819,3
821,3
834,3
855,3
867,3
879,3
911,3
14,2
22,2
31,2
191,2
273,2
282,2
283,2
284,2
299,2
312,2
376,2
400,2
411,2
412,2
430,2
432,2
446,2
448,2
451,2
472,2
477,2
478,2
485,2
488,2
515,2
518,2
535,2
546,2
559,2
568,2
581,2
589,2
594,2
595,2
604,2
608,2
633,2
644,2
648,2
653,2
667,2
672,2
677,2
684,2
701,2
715,2
718,2
733,2
745,2
750,2
755,2
759,2
763,2
782,2
786,2
804,2
811,2
812,2
813,2
822,2
827,2
842,2
845,2
866,2
878,2
882,2
886,2
889,2
890,2
896,2
899,2
916,2
919,2
922,2
926,2
930,2
944,2
949,2
952,2
970,2
1,1
3,1
5,1
12,1
15,1
17,1
24,1
45,1
53,1
57,1
60,1
62,1
69,1
70,1
73,1
74,1
84,1
86,1
90,1
96,1
106,1
116,1
118,1
130,1
131,1
135,1
139,1
140,1
143,1
154,1
168,1
173,1
176,1
179,1
182,1
