Actor,Degree,DegreeCentrality,Closeness,PageRank,Betweenness
Stephanie Lemelin,0.06227106227106227,0.0004665459136066743,0.8197007295815217,0.043354797789480114,0.00012826034660868153
Ivan Decker,0.1684981684981685,0.0012624183544651187,0.7928165955999684,0.0734004468388378,0.0
David Hendrawan,0.029304029304029304,0.00021955101816784674,0.697715107913669,0.03268839554470156,0.0
Isaiah Washington,0.19413919413919414,0.0014545254953619846,0.8631153260142109,0.17301692729499635,0.031968782837469414
Ramy Essam,0.05128205128205128,0.0003842142817937318,0.6950668531981744,0.06025453320783698,0.0
Tom Ellis,0.04395604395604396,0.00032932652725177014,0.7276197564357267,0.0483371787919343,0.0
Aman Verma,0.02564102564102564,0.0001921071408968659,0.7525809675757217,0.01814028317785949,0.0
Rory J. Saper,0.014652014652014652,0.00010977550908392337,0.7199624660739631,0.027973576224932798,0.0
Ouchi Akane,0.08058608058608059,0.0006037652999615785,0.6075951904812024,0.041505308448109096,0.0
Navneet Kaur Dhillon,0.02197802197802198,0.00016466326362588507,0.6689807022674973,0.03799993990281108,0.0
Géraldine Frippiat,0.02197802197802198,0.00016466326362588507,0.0006706025929753034,0.06486223777538992,0.0
Afonso Padilha,0.1684981684981685,0.0012624183544651187,0.7928165955999684,0.0734004468388378,0.0
Son Ye-jin,0.03663003663003663,0.0002744387727098084,0.5111503708357401,0.04985749523110849,9.814077396305256e-05
Josh Flitter,0.03296703296703297,0.0002469948954388276,0.7104313173933426,0.0323992039228655,0.0
Rachel Crow,0.0695970695970696,0.000521433668148636,0.8391513515384348,0.05944528478102069,0.0005412803314621662
Beverly Johnson,0.03663003663003663,0.0002744387727098084,0.7543980833255546,0.03950516050654897,0.0
Jamel Debbouze,0.018315018315018316,0.0001372193863549042,0.6347946295792053,0.03692900726398698,0.0
Prince Mingle,0.03296703296703297,0.0002469948954388276,0.5952206766861917,0.05117743117448688,0.0
Kokoy De Santos,0.03296703296703297,0.0002469948954388276,0.448043404343391,0.057192293520625194,0.0
Kevin Crowley,0.03296703296703297,0.0002469948954388276,0.8059514945218594,0.025222172416678675,0.0
Gautham Vasudev Menon,0.10622710622710622,0.0007958724408584445,0.6524755512737019,0.1131034639093077,0.0008365150766035276
Shawn Wayans,0.054945054945054944,0.00041165815906471265,0.8040911623464486,0.036641681412530054,0.0
Jodelle Ferland,0.1684981684981685,0.0012624183544651187,0.8615878836982864,0.15129458821551764,0.007170360109739315
Lorànt Deutsch,0.03296703296703297,0.0002469948954388276,0.6812207443371151,0.05025929808510011,0.0
Raïa Haidar,0.03296703296703297,0.0002469948954388276,0.45031351222846266,0.0566078214445609,0.0
Rajendra Nath,0.03296703296703297,0.0002469948954388276,0.6240309678482081,0.03958574790036002,0.0
Deniz Şen Hamzaoğlu,0.03296703296703297,0.0002469948954388276,0.527417642657014,0.04493060431902041,0.0
Zeno Robinson,0.03296703296703297,0.0002469948954388276,0.6342665501671627,0.04788632187502662,0.0
Masayasu Yagi,0.05128205128205128,0.0003842142817937318,0.5966385313876517,0.0441852134213437,0.0
Masato Yano,0.07692307692307693,0.0005763214226905977,0.6068986232790988,0.06642523310248713,0.0
Seong Hye-min,0.03296703296703297,0.0002469948954388276,0.49777653681751166,0.05457316433383835,0.0
Makram Khoury,0.06227106227106227,0.0004665459136066743,0.811112077559732,0.06959359630630695,0.0013079157324062758
Susan Ruttan,0.02564102564102564,0.0001921071408968659,0.6855120078261507,0.04597389277473658,0.0
