Actor,Degree,DegreeCentrality,Betweenness,Closeness,PageRank,Degree_norm,Betweenness_norm,Closeness_norm,PageRank_norm
Anupam Kher,26,0.26262626262626265,0.30017355775218846,0.3040033361134279,0.022719303446511206,1.0,1.0,0.9954128440366973,0.9144693731929766
Shah Rukh Khan,22,0.22222222222222224,0.009024328699250631,0.2472862957937585,0.018314697947383243,0.8461538461538461,0.030063703035097995,0.8097014925373134,0.7240505474313499
Julie Tejwani,5,0.05050505050505051,5.1535765821480104e-05,0.050505050505050504,0.013617225779550284,0.19230769230769232,0.00017168656095959664,0.16537113244932172,0.5209705816038159
Naseeruddin Shah,17,0.17171717171717174,0.0063826414590398275,0.2409917355371901,0.010804270743660093,0.6538461538461539,0.021263170236697153,0.7890909090909091,0.3993615986970579
Takahiro Sakurai,13,0.13131313131313133,0.0006555191622740905,0.19043887147335423,0.017976640119530055,0.5,0.00218380048923317,0.6235632183908045,0.7094357142454777
Rupa Bhimani,5,0.05050505050505051,5.1535765821480104e-05,0.050505050505050504,0.013105484079518637,0.19230769230769232,0.00017168656095959664,0.16537113244932172,0.49884708981037895
Akshay Kumar,19,0.19191919191919193,0.01139482682441424,0.24275724275724278,0.01849890206644168,0.7307692307692307,0.0379607947806694,0.7948717948717948,0.732014014774454
Om Puri,22,0.22222222222222224,0.0038496869120709576,0.2472862957937585,0.014851636844767884,0.8461538461538461,0.012824870188096676,0.8097014925373134,0.5743363383310486
Yuki Kaji,14,0.14141414141414144,0.006694526098791326,0.21944611679711018,0.016776002585346197,0.5384615384615384,0.022302184605874128,0.7185430463576158,0.6575300465370102
Amitabh Bachchan,20,0.20202020202020204,0.029147195155037397,0.2519875561700657,0.01479897670280059,0.7692307692307693,0.09710114166385095,0.8250950570342205,0.5720597479758311
Paresh Rawal,19,0.19191919191919193,0.003444922424835188,0.24275724275724278,0.016451681227549735,0.7307692307692307,0.011476435335051001,0.7948717948717948,0.6435090650590446
Boman Irani,24,0.24242424242424243,0.010346943793476318,0.24914559125085442,0.01674465888435794,0.9230769230769231,0.0344698709338627,0.8157894736842105,0.6561750033354365
Rajesh Kava,5,0.05050505050505051,5.1535765821480104e-05,0.050505050505050504,0.011535107251479776,0.19230769230769232,0.00017168656095959664,0.16537113244932172,0.43095694354015546
Vincent Tong,8,0.08080808080808081,2.9449009040845772e-05,0.21241258741258745,0.014871485253038259,0.3076923076923077,9.810660626262665e-05,0.6955128205128206,0.5751944198543156
Andrea Libman,9,0.09090909090909091,0.002523780074800483,0.2216479173000912,0.018635152477215824,0.34615384615384615,0.008407736156707105,0.7257525083612039,0.7379043591501963
Kareena Kapoor,21,0.21212121212121213,0.005123295327089458,0.24636701588374454,0.015796361410324537,0.8076923076923077,0.017067776940296153,0.8066914498141264,0.61517843928131
Samuel L. Jackson,5,0.05050505050505051,0.04574915002872232,0.2418712674187127,0.008985008797775128,0.19230769230769232,0.15240899422090678,0.791970802919708,0.3207117119916963
John Cleese,2,0.020202020202020204,0.00041228612657184083,0.022727272727272728,0.014170762750363174,0.07692307692307693,0.0013734924876767731,0.07441700960219479,0.5449009563033677
Jigna Bhardwaj,5,0.05050505050505051,5.1535765821480104e-05,0.050505050505050504,0.010910091744836444,0.19230769230769232,0.00017168656095959664,0.16537113244932172,0.4039364262926076
Fred Tatasciore,6,0.06060606060606061,0.14728793162934467,0.29066985645933013,0.0076131321394136905,0.23076923076923078,0.4906759034083203,0.9517543859649121,0.26140307642224775
Tara Strong,8,0.08080808080808081,0.06445881617465049,0.24364973262032086,0.008201441113913301,0.3076923076923077,0.21473848881740998,0.7977941176470588,0.2868367058656614
Daisuke Ono,14,0.14141414141414144,0.006694526098791326,0.21944611679711018,0.017257468526614472,0.5384615384615384,0.022302184605874128,0.7185430463576158,0.6783446641454821
Junichi Suwabe,14,0.14141414141414144,0.009648481049378268,0.22090909090909094,0.012784501535379291,0.5384615384615384,0.03214300793724035,0.7233333333333334,0.4849704511063918
Ajay Devgn,15,0.15151515151515152,0.0015454921420554439,0.2409917355371901,0.009885922289575957,0.5769230769230769,0.005148661839599282,0.7890909090909091,0.35965978333553966
Ashleigh Ball,8,0.08080808080808081,0.0018567600200253258,0.22090909090909094,0.011110936224726342,0.3076923076923077,0.006185621524858609,0.7233333333333334,0.41261928563810646
Kay Kay Menon,11,0.11111111111111112,0.001065693451284051,0.20082644628099175,0.0062856865718765986,0.4230769230769231,0.0035502575885243224,0.6575757575757576,0.2040152748852126
Nicolas Cage,2,0.020202020202020204,0.0030571550055430562,0.23011363636363638,0.004482703699604809,0.07692307692307693,0.010184624616625705,0.7534722222222222,0.1260691611017441
Nawazuddin Siddiqui,8,0.08080808080808081,0.0014342800057085769,0.20454545454545456,0.005704494964880083,0.3076923076923077,0.0047781690580909275,0.6697530864197531,0.17888934172985962
Adam Sandler,5,0.05050505050505051,0.007692408441077472,0.2090622311442501,0.014274900094769259,0.19230769230769232,0.025626535857059145,0.6845425867507887,0.5494029964619396
David Attenborough,0,0.0,0.0,0.0,0.0015665796344647522,0.0,0.0,0.0,0.0
Salman Khan,17,0.17171717171717174,0.002469252557378719,0.2409917355371901,0.010955034407434366,0.6538461538461539,0.00822608285642947,0.7890909090909091,0.4058793764705955
David Spade,9,0.09090909090909091,0.06960990767515092,0.23335467349551858,0.024697724790468445,0.34615384615384615,0.2318988660973867,0.7640845070422535,1.0
Yuichi Nakamura,14,0.14141414141414144,0.006694526098791326,0.21944611679711018,0.010859119491905215,0.5384615384615384,0.022302184605874128,0.7185430463576158,0.4017328063426459
Erin Fitzgerald,4,0.04040404040404041,0.006721245496755702,0.23753665689149564,0.012305247255087852,0.15384615384615385,0.022391197769340163,0.7777777777777778,0.4642514474833892
Mamoru Miyano,16,0.16161616161616163,0.04521612880017202,0.23500967117988397,0.013841366493771627,0.6153846153846154,0.15063328408660395,0.7695035460992908,0.5306605780440988
Morgan Freeman,1,0.010101010101010102,0.0,0.1506198347107438,0.0031736248868749505,0.038461538461538464,0.0,0.49318181818181817,0.06947538660847881
