Source,Target,Value
Adam Sandler,Chris Rock,2
Adam Sandler,David Spade,4
Adam Sandler,Maya Rudolph,3
Chris Rock,David Spade,1
Chris Rock,Maya Rudolph,2
David Spade,Maya Rudolph,1
Julie Tejwani,Vatsal Dubey,18
Rupa Bhimani,Vatsal Dubey,18
Jigna Bhardwaj,Vatsal Dubey,18
Rajesh Kava,Vatsal Dubey,17
Julie Tejwani,Rupa Bhimani,31
Jigna Bhardwaj,Julie Tejwani,21
Julie Tejwani,Rajesh Kava,24
Jigna Bhardwaj,Rupa Bhimani,20
Rajesh Kava,Rupa Bhimani,22
Jigna Bhardwaj,Rajesh Kava,20
Fred Tatasciore,Grey Griffin,2
Blossom Chukwujekwu,Richard Mofe-Damijo,1
Daisuke Ono,Miyuki Sawashiro,4
Erin Fitzgerald,Fred Tatasciore,4
Junichi Suwabe,Yuichi Nakamura,5
Junichi Suwabe,Mamoru Miyano,6
Daisuke Ono,Junichi Suwabe,8
Jun Fukuyama,Junichi Suwabe,3
Mamoru Miyano,Yuichi Nakamura,4
Daisuke Ono,Yuichi Nakamura,6
Jun Fukuyama,Yuichi Nakamura,4
Daisuke Ono,Mamoru Miyano,8
Jun Fukuyama,Mamoru Miyano,6
Daisuke Ono,Jun Fukuyama,5
Grey Griffin,Kari Wahlgren,2
Shah Rukh Khan,Tinnu Anand,5
Daisuke Ono,Yoshimasa Hosoya,5
Junichi Suwabe,Yoshimasa Hosoya,2
Hiroshi Kamiya,Yoshimasa Hosoya,4
Daisuke Ono,Hiroshi Kamiya,6
Hiroshi Kamiya,Junichi Suwabe,2
Chris Rock,Laurence Fishburne,1
James Franco,Seth Rogen,3
Anupam Kher,Rajpal Yadav,4
Anupam Kher,Sanjay Mishra,2
Rajpal Yadav,Sanjay Mishra,2
Manoj Joshi,Sanjay Dutt,1
Amitabh Bachchan,Sanjay Dutt,2
Naseeruddin Shah,Rajesh Sharma,1
Takehito Koyasu,Yuichi Nakamura,2
Ai Kayano,Takehito Koyasu,3
Brian Drummond,Kathleen Barr,3
