id,Community,Degree,Appearances,Betweenness,Closeness,PageRank
Anupam Kher,0,26,43,1.0,0.9954,0.9145
Shah Rukh Khan,0,22,35,0.0222,0.8097,0.7241
Julie Tejwani,3,5,33,0.0,0.1654,0.521
Naseeruddin Shah,0,17,32,0.015,0.7891,0.3994
Takahiro Sakurai,6,13,32,0.0,0.6236,0.7094
Rupa Bhimani,3,5,31,0.0,0.1654,0.4988
Akshay Kumar,0,19,30,0.0371,0.7949,0.732
Om Puri,0,22,30,0.0819,0.8097,0.5743
Yuki Kaji,6,14,29,0.0183,0.7185,0.6575
Amitabh Bachchan,0,20,28,0.0955,0.8251,0.5721
Paresh Rawal,0,19,28,0.0812,0.7949,0.6435
Boman Irani,0,24,27,0.0227,0.8158,0.6562
Rajesh Kava,3,5,26,0.0004,0.1654,0.431
Vincent Tong,1,8,26,0.0,0.6955,0.5752
Andrea Libman,1,9,25,0.0,0.7258,0.7379
Kareena Kapoor,0,21,25,0.0522,0.8067,0.6152
Samuel L. Jackson,5,5,24,0.1552,0.792,0.3207
John Cleese,2,2,24,0.0014,0.0744,0.5449
Jigna Bhardwaj,3,5,23,0.0004,0.1654,0.4039
Fred Tatasciore,12,6,23,0.5472,0.9518,0.2614
Tara Strong,1,8,23,0.2527,0.7978,0.2868
Daisuke Ono,6,14,22,0.0,0.7185,0.6783
Junichi Suwabe,6,14,21,0.0119,0.7233,0.485
Ajay Devgn,0,15,21,0.1025,0.7891,0.3597
Ashleigh Ball,1,8,21,0.0,0.7233,0.4126
Kay Kay Menon,0,11,21,0.0152,0.6576,0.204
Nicolas Cage,5,2,21,0.0122,0.7535,0.1261
Nawazuddin Siddiqui,0,8,21,0.0047,0.6698,0.1789
Adam Sandler,5,5,20,0.008,0.6845,0.5494
David Attenborough,4,0,20,0.0,0.0,0.0
Salman Khan,0,17,20,0.013,0.7891,0.4059
David Spade,5,9,19,0.2913,0.7641,1.0
Yuichi Nakamura,6,14,19,0.0075,0.7185,0.4017
Erin Fitzgerald,12,4,19,0.0,0.7778,0.4643
Mamoru Miyano,6,16,19,0.2337,0.7695,0.5307
Morgan Freeman,5,1,19,0.0,0.4932,0.0695
James Franco,2,2,19,0.0014,0.0744,0.2815
Seth Rogen,2,1,19,0.0,0.0496,0.2227
Ai Kayano,6,12,19,0.0017,0.5913,0.2756
Fred Armisen,5,3,19,0.0,0.6616,0.3109
Gulshan Grover,0,13,19,0.0074,0.6803,0.2738
Vatsal Dubey,3,4,18,0.0,0.1378,0.3496
Rajesh Sharma,0,7,18,0.0079,0.7614,0.1435
Fortune Feimster,5,2,18,0.0,0.6596,0.5118
Diana Kaarina,1,10,18,0.087,0.7331,0.5006
Yashpal Sharma,0,14,18,0.0267,0.6824,0.2633
Kana Hanazawa,6,13,18,0.0,0.7162,0.4779
Laura Bailey,12,8,18,0.1384,0.8645,0.4796
Anil Kapoor,0,19,18,0.0199,0.8007,0.4197
Debi Derryberry,12,3,18,0.0,0.6698,0.3163
Bruce Willis,5,2,17,0.0021,0.6889,0.124
Molly Shannon,5,4,17,0.0662,0.6028,0.2592
Rajpal Yadav,0,21,17,0.0156,0.8067,0.6209
Brian Drummond,1,11,17,0.2669,0.8857,0.3282
Michela Luci,7,0,17,0.0,0.0,0.0
Alessandro Juliani,1,8,17,0.0,0.7306,0.5087
Danny Trejo,5,3,17,0.0618,0.7381,0.155
Priyanka Chopra,0,14,17,0.0051,0.6656,0.3183
Asrani,0,17,17,0.1129,0.7949,0.4256
Jackie Shroff,0,20,17,0.0318,0.8037,0.4733
Saif Ali Khan,0,15,17,0.1486,0.7891,0.3004
Kate Higgins,12,5,17,0.018,0.7092,0.4438
Maya Rudolph,5,6,16,0.0397,0.7614,0.6387
Blossom Chukwujekwu,8,2,16,0.0007,0.0661,0.5905
Miyuki Sawashiro,6,12,16,0.0182,0.7138,0.247
Jun Fukuyama,6,14,16,0.1117,0.7258,0.3386
Kari Wahlgren,6,11,16,0.593,0.868,0.1703
Tinnu Anand,0,15,16,0.0073,0.7891,0.4
Yoshimasa Hosoya,6,12,16,0.0278,0.6218,0.2713
Hiroshi Kamiya,6,13,16,0.0981,0.7162,0.2736
Mike Epps,5,4,16,0.1088,0.7806,0.2052
Laurence Fishburne,5,3,16,0.0983,0.7561,0.1894
Sanjay Mishra,0,14,16,0.0081,0.7806,0.3545
Manoj Joshi,0,12,16,0.0021,0.775,0.3158
