Source,Target,Value
Adam Sandler,Maya Rudolph,3
Fred Tatasciore,Grey Griffin,2
Kazuhiko Inoue,Yuichi Nakamura,2
Kazuhiko Inoue,Satoshi Hino,3
Miyuki Sawashiro,Tetsuya Kakihara,2
Katsuyuki Konishi,Tetsuya Kakihara,4
Kazuhiko Inoue,Tetsuya Kakihara,1
Daisuke Ono,Tetsuya Kakihara,4
Katsuyuki Konishi,Miyuki Sawashiro,1
Kazuhiko Inoue,Miyuki Sawashiro,1
Daisuke Ono,Miyuki Sawashiro,4
Katsuyuki Konishi,Kazuhiko Inoue,2
Daisuke Ono,Katsuyuki Konishi,3
Daisuke Ono,Kazuhiko Inoue,1
Saori Hayami,Satoshi Hino,2
Junichi Suwabe,Yoshitsugu Matsuoka,5
Tetsuya Kakihara,Yoshitsugu Matsuoka,1
Satoshi Hino,Yoshitsugu Matsuoka,2
Yoshitsugu Matsuoka,Yuichi Nakamura,4
Mamoru Miyano,Yoshitsugu Matsuoka,1
Daisuke Ono,Yoshitsugu Matsuoka,1
Jun Fukuyama,Yoshitsugu Matsuoka,2
Junichi Suwabe,Tetsuya Kakihara,1
Junichi Suwabe,Satoshi Hino,2
Junichi Suwabe,Yuichi Nakamura,5
Junichi Suwabe,Mamoru Miyano,6
Daisuke Ono,Junichi Suwabe,8
Jun Fukuyama,Junichi Suwabe,3
Satoshi Hino,Tetsuya Kakihara,1
Tetsuya Kakihara,Yuichi Nakamura,3
Mamoru Miyano,Tetsuya Kakihara,2
Jun Fukuyama,Tetsuya Kakihara,3
Satoshi Hino,Yuichi Nakamura,3
Mamoru Miyano,Satoshi Hino,1
Daisuke Ono,Satoshi Hino,4
Jun Fukuyama,Satoshi Hino,2
Mamoru Miyano,Yuichi Nakamura,4
Daisuke Ono,Yuichi Nakamura,6
Jun Fukuyama,Yuichi Nakamura,4
Daisuke Ono,Mamoru Miyano,8
Jun Fukuyama,Mamoru Miyano,6
Daisuke Ono,Jun Fukuyama,5
Grey Griffin,Kari Wahlgren,2
Daisuke Ono,Yoshimasa Hosoya,5
Junichi Suwabe,Yoshimasa Hosoya,2
Hiroshi Kamiya,Yoshimasa Hosoya,4
Daisuke Ono,Hiroshi Kamiya,6
Hiroshi Kamiya,Junichi Suwabe,2
James Franco,Seth Rogen,3
Naseeruddin Shah,Rajesh Sharma,1
Rie Kugimiya,Sayaka Ohara,3
Alfred Molina,Rosario Dawson,1
Katsuyuki Konishi,Yoko Hikasa,3
Takehito Koyasu,Yoko Hikasa,3
Yoko Hikasa,Yuichi Nakamura,1
Katsuyuki Konishi,Takehito Koyasu,2
Katsuyuki Konishi,Yuichi Nakamura,3
Takehito Koyasu,Yuichi Nakamura,2
Ai Kayano,Takehito Koyasu,3
Ai Kayano,Yoshitsugu Matsuoka,5
Takehito Koyasu,Yoshitsugu Matsuoka,2
Alfred Molina,John C. Reilly,1
Justin Long,Mark Hamill,1
Kevin Michael Richardson,Mark Hamill,3
Justin Long,Kevin Michael Richardson,1
Alfred Molina,Fred Tatasciore,1
Paul Giamatti,Rosario Dawson,1
Andy Samberg,Will Forte,4
Jane Lynch,John C. Reilly,2
John C. Reilly,Molly Shannon,3
Jane Lynch,Molly Shannon,1
James Cromwell,Morgan Freeman,1
Liev Schreiber,Morgan Freeman,1
James Cromwell,Liev Schreiber,1
Jun Fukuyama,Yuki Kaji,6
Mamoru Miyano,Yuki Kaji,9
Kay Kay Menon,Rajesh Sharma,1
Guy Pearce,Keith David,1
Miyuki Sawashiro,Takahiro Sakurai,2
Junichi Suwabe,Miyuki Sawashiro,3
