id,Community,Degree,Appearances
Anupam Kher,0,13,43
Samuel L. Jackson,2,12,24
Takahiro Sakurai,1,26,32
Fred Tatasciore,2,9,23
Yuichi Nakamura,1,27,19
Yuki Kaji,1,25,29
Shah Rukh Khan,0,8,35
Fred Armisen,2,10,19
Akshay Kumar,0,6,30
Katsuyuki Konishi,1,22,12
Jun Fukuyama,1,25,16
Om Puri,0,9,30
Junichi Suwabe,1,22,21
Naseeruddin Shah,0,7,32
Boman Irani,0,9,27
Hiroshi Kamiya,1,20,16
James Franco,2,5,19
Maya Rudolph,2,15,16
Paresh Rawal,0,9,28
Amitabh Bachchan,0,7,28
Nick Swardson,2,11,12
Dennis Quaid,2,9,13
Adam Sandler,2,10,20
Nicolas Cage,2,5,21
Willem Dafoe,2,7,15
Daisuke Ono,1,24,22
Joan Cusack,2,5,13
Elizabeth Banks,2,21,11
Bobby Cannavale,2,14,11
Chris Parnell,2,10,12
Kari Wahlgren,2,18,16
Liev Schreiber,2,12,13
Kevin Michael Richardson,2,7,14
Kay Kay Menon,0,4,21
John Travolta,2,7,14
Molly Shannon,2,13,17
Mamoru Miyano,1,18,19
Keith David,2,8,15
Jim Broadbent,2,4,13
Terrence Howard,2,12,10
Morgan Freeman,2,4,19
Laura Linney,2,4,13
Ai Kayano,1,23,19
Kana Hanazawa,1,23,18
Jon Hamm,2,11,8
Justin Long,2,13,12
Rob Riggle,2,6,13
Kareena Kapoor,0,8,25
Yoshimasa Hosoya,1,20,16
Yoshitsugu Matsuoka,1,21,14
Miyuki Sawashiro,1,22,16
Tony Hale,2,5,14
Yoko Hikasa,1,20,14
Janeane Garofalo,2,10,10
Bruce Willis,2,2,17
Alfred Molina,2,6,16
Andy Samberg,2,11,12
Guy Pearce,2,3,14
Kenjiro Tsuda,1,21,14
Adam Scott,2,11,12
Grey Griffin,2,6,15
Seth Rogen,2,5,19
Michael Peña,2,9,15
Danny Trejo,2,6,17
Ben Kingsley,2,4,15
Kathy Bates,2,7,11
Rosario Dawson,2,5,14
Satoshi Hino,1,17,12
Kaito Ishikawa,1,17,11
Will Forte,2,11,11
Tomokazu Sugita,1,22,16
Dermot Mulroney,2,6,12
Tetsuya Kakihara,1,20,9
Gugu Mbatha-Raw,2,5,9
Sam Shepard,2,2,11
Nobuhiko Okamoto,1,23,12
Rie Kugimiya,1,16,12
Jason Schwartzman,2,9,12
Kazuhiko Inoue,1,15,14
Takehito Koyasu,1,16,15
Mark Hamill,2,9,11
Bryce Dallas Howard,2,8,7
Jon Lovitz,2,8,10
Gerard Butler,2,14,13
Patrick Warburton,2,13,11
John C. Reilly,2,9,13
Eri Kitamura,1,21,9
Chloë Grace Moretz,2,13,9
Laurence Fishburne,2,4,16
Paul Giamatti,2,13,12
Anil Kapoor,0,8,18
Saori Hayami,1,17,13
James Cromwell,2,6,11
Sayaka Ohara,1,13,12
Joseph Gordon-Levitt,2,7,9
Steve Buscemi,2,10,12
Rajesh Sharma,0,4,18
Tara Strong,2,4,23
Naomi Watts,2,9,12
Jane Lynch,2,6,10
