id,Community,Degree,Appearances,Betweenness,Closeness,PageRank
Mike Gabriel,0,12,1,0.0,0.175,0.1117
Patrick Osborne,0,12,1,0.0,0.175,0.1117
Stevie Wermers,0,12,1,0.0,0.175,0.1117
Dean Wellins,0,12,1,0.0,0.175,0.1117
Tomm Moore,1,9,1,0.0,0.0,0.0
Michael Socha,1,9,1,0.0,0.0,0.0
Mohammed Saeed Harib,1,9,1,0.0,0.0,0.0
Byron Howard,0,12,2,0.0,0.175,0.1117
Nathan Greno,0,12,1,0.0,0.175,0.1117
Nina Paley,1,9,1,0.0,0.0,0.0
Joann Sfar,1,9,1,0.0,0.0,0.0
Mark Henn,0,12,1,0.0,0.175,0.1117
Kevin Deters,0,12,1,0.0,0.175,0.1117
Lauren MacMullan,0,12,1,0.0,0.175,0.1117
Roger Allers,1,21,3,1.0,1.0,1.0
Gaëtan Brizzi,1,9,1,0.0,0.0,0.0
John Kahrs,0,12,1,0.0,0.175,0.1117
Jennifer Lee,0,12,1,0.0,0.175,0.1117
Chris Buck,0,12,3,0.0,0.175,0.1117
Bill Plympton,1,9,1,0.0,0.0,0.0
Paul Brizzi,1,9,1,0.0,0.0,0.0
Joan C. Gratz,1,9,1,0.0,0.0,0.0
