Actor,Degree,DegreeCentrality,Betweenness,Closeness,PageRank,Degree_norm,Betweenness_norm,Closeness_norm,PageRank_norm
Anupam Kher,76,0.07607607607607608,0.094909264265958,0.35382508945727337,0.002982066191591588,0.7450980392156863,1.0,0.8477011494252873,0.8845968475809788
Samuel L. Jackson,78,0.07807807807807808,0.009983140015481434,0.4062057934222883,0.002507820579135731,0.7647058823529411,0.1051861490307873,0.9731958762886599,0.7364527060036502
Takahiro Sakurai,102,0.1021021021021021,0.000654114463688111,0.26833262028031846,0.0033514998939005486,1.0,0.00689199804410167,0.6428766003813675,1.0
Fred Tatasciore,56,0.056056056056056056,0.015281760401909528,0.4072133315622361,0.0021333652060038294,0.5490196078431373,0.16101442277633146,0.9756097560975611,0.6194808914951768
Yuichi Nakamura,98,0.0980980980980981,0.012428895644575257,0.31961357853635597,0.002482344835204971,0.9607843137254902,0.13095555782359222,0.7657365347177157,0.7284946308701296
Yuki Kaji,92,0.0920920920920921,0.009437075069946234,0.30976385190221667,0.0030689174665562303,0.9019607843137255,0.09943260168471371,0.7421383647798742,0.9117273201390799
Shah Rukh Khan,56,0.056056056056056056,0.0018529537745796162,0.28676828211034905,0.0025430848349870193,0.5490196078431373,0.019523423650058075,0.6870451237263464,0.7474685019841321
Fred Armisen,71,0.07107107107107107,0.011768923987770834,0.417393664851292,0.0024794610772805818,0.696078431372549,0.1240018461716398,1.0,0.7275938068434965
Akshay Kumar,50,0.050050050050050046,0.0017732546317092098,0.2842854398409954,0.0023098779125642213,0.49019607843137253,0.018683683257096323,0.6810966810966811,0.6746196691750951
Katsuyuki Konishi,88,0.08808808808808809,0.007759883654327492,0.3069644901991428,0.0019120401035499159,0.8627450980392157,0.0817610769016445,0.7354315986288564,0.5503436839989214
Jun Fukuyama,101,0.1011011011011011,0.011217790186249169,0.3106430302898294,0.002304442686444027,0.9901960784313726,0.11819489143667042,0.7442447177546515,0.6729218212947843
Om Puri,62,0.062062062062062065,0.0580781681339034,0.3440618403943587,0.002342531171206858,0.6078431372549019,0.6119336039857476,0.8243101641634648,0.6848198457170892
Junichi Suwabe,89,0.0890890890890891,0.001000812722982375,0.2700984505207154,0.002484524804906549,0.8725490196078431,0.010544942379680271,0.6471072114066356,0.729175606574749
Naseeruddin Shah,48,0.04804804804804805,0.002890929390903334,0.28412144477907386,0.0017083158636558076,0.47058823529411764,0.030459928366974507,0.6807037784828381,0.4867046078642621
Boman Irani,57,0.057057057057057055,0.002397318688092944,0.28618508107177487,0.002100056550596481,0.5588235294117647,0.02525905881405945,0.6856478791400349,0.6090759830831334
Hiroshi Kamiya,80,0.08008008008008008,0.008380502280241633,0.3085993261431858,0.0018094150616699185,0.7843137254901961,0.08830015009659649,0.7393483709273183,0.5182858255088447
James Franco,60,0.06006006006006006,0.006102352096129133,0.39166960200757417,0.0018315019290433736,0.5882352941176471,0.06429669583180955,0.9383697813121272,0.5251852884057785
Maya Rudolph,73,0.07307307307307308,0.009979811736941869,0.40354324008564074,0.00237435694625081,0.7156862745098039,0.10515108102593755,0.9668168783285539,0.6947615341588739
Paresh Rawal,55,0.055055055055055056,0.00216743377032827,0.28469625695059225,0.002368266755108145,0.5392156862745098,0.02283690414304143,0.6820809248554914,0.6928590892755151
Amitabh Bachchan,54,0.05405405405405406,0.013686508862926494,0.3038399287628159,0.001984378661861687,0.5294117647058824,0.14420624760691106,0.7279457125231339,0.5729406956371396
Nick Swardson,53,0.05305305305305305,0.008155093743279582,0.3831384866001747,0.0019447654576611394,0.5196078431372549,0.0859251602712576,0.9179307662388176,0.5605663816165458
