Actor,Degree,DegreeCentrality,Betweenness,Closeness,PageRank,Degree_norm,Betweenness_norm,Closeness_norm,PageRank_norm,Community_Louvain
Anupam Kher,76,0.076076076076076,0.094909264265958,0.3538250894572733,0.0029820661915915,0.7450980392156863,1.0,0.8477011494252873,0.8845968475809788,0
Samuel L. Jackson,78,0.078078078078078,0.0099831400154814,0.4062057934222883,0.0025078205791357,0.7647058823529411,0.1051861490307873,0.97319587628866,0.7364527060036502,5
Takahiro Sakurai,102,0.1021021021021021,0.0006541144636881,0.2683326202803184,0.0033514998939005,1.0,0.0068919980441016,0.6428766003813675,1.0,1
Fred Tatasciore,56,0.056056056056056,0.0152817604019095,0.4072133315622361,0.0021333652060038,0.5490196078431373,0.1610144227763314,0.9756097560975612,0.6194808914951768,4
Yuichi Nakamura,98,0.0980980980980981,0.0124288956445752,0.3196135785363559,0.0024823448352049,0.9607843137254902,0.1309555578235922,0.7657365347177157,0.7284946308701296,1
Yuki Kaji,92,0.0920920920920921,0.0094370750699462,0.3097638519022166,0.0030689174665562,0.9019607843137256,0.0994326016847137,0.7421383647798742,0.91172732013908,1
Shah Rukh Khan,56,0.056056056056056,0.0018529537745796,0.286768282110349,0.002543084834987,0.5490196078431373,0.019523423650058,0.6870451237263464,0.7474685019841321,0
Fred Armisen,71,0.071071071071071,0.0117689239877708,0.417393664851292,0.0024794610772805,0.696078431372549,0.1240018461716398,1.0,0.7275938068434965,5
Akshay Kumar,50,0.05005005005005,0.0017732546317092,0.2842854398409954,0.0023098779125642,0.4901960784313725,0.0186836832570963,0.6810966810966811,0.6746196691750951,0
Katsuyuki Konishi,88,0.088088088088088,0.0077598836543274,0.3069644901991428,0.0019120401035499,0.8627450980392157,0.0817610769016445,0.7354315986288564,0.5503436839989214,1
Jun Fukuyama,101,0.1011011011011011,0.0112177901862491,0.3106430302898294,0.002304442686444,0.9901960784313726,0.1181948914366704,0.7442447177546515,0.6729218212947843,1
Om Puri,62,0.062062062062062,0.0580781681339034,0.3440618403943587,0.0023425311712068,0.6078431372549019,0.6119336039857476,0.8243101641634648,0.6848198457170892,0
Junichi Suwabe,89,0.0890890890890891,0.0010008127229823,0.2700984505207154,0.0024845248049065,0.8725490196078431,0.0105449423796802,0.6471072114066356,0.729175606574749,1
Naseeruddin Shah,48,0.048048048048048,0.0028909293909033,0.2841214447790738,0.0017083158636558,0.4705882352941176,0.0304599283669745,0.6807037784828381,0.4867046078642621,0
Boman Irani,57,0.057057057057057,0.0023973186880929,0.2861850810717748,0.0021000565505964,0.5588235294117647,0.0252590588140594,0.6856478791400349,0.6090759830831334,0
Hiroshi Kamiya,80,0.08008008008008,0.0083805022802416,0.3085993261431858,0.0018094150616699,0.7843137254901961,0.0883001500965964,0.7393483709273183,0.5182858255088447,1
James Franco,60,0.06006006006006,0.0061023520961291,0.3916696020075741,0.0018315019290433,0.5882352941176471,0.0642966958318095,0.9383697813121272,0.5251852884057785,5
Maya Rudolph,73,0.073073073073073,0.0099798117369418,0.4035432400856407,0.0023743569462508,0.7156862745098039,0.1051510810259375,0.966816878328554,0.6947615341588739,5
Paresh Rawal,55,0.055055055055055,0.0021674337703282,0.2846962569505922,0.0023682667551081,0.5392156862745098,0.0228369041430414,0.6820809248554914,0.6928590892755151,0
Amitabh Bachchan,54,0.054054054054054,0.0136865088629264,0.3038399287628159,0.0019843786618616,0.5294117647058824,0.144206247606911,0.7279457125231339,0.5729406956371396,0
Nick Swardson,53,0.053053053053053,0.0081550937432795,0.3831384866001747,0.0019447654576611,0.5196078431372549,0.0859251602712576,0.9179307662388176,0.5605663816165458,5
Dennis Quaid,52,0.052052052052052,0.0026057924858951,0.3837355080050834,0.0015434172552433,0.5098039215686274,0.0274556178055818,0.9193611219322164,0.435193824951456,2
Adam Sandler,48,0.048048048048048,0.0016495026878749,0.3646979078300811,0.0023201841669514,0.4705882352941176,0.0173797858473826,0.8737504627915587,0.6778391216464973,5
Nicolas Cage,43,0.043043043043043,0.0029151944963389,0.3775580870253159,0.0013324021751555,0.4215686274509804,0.0307155947197092,0.9045611345343044,0.3692772469622822,5
Willem Dafoe,36,0.036036036036036,0.0111078577740626,0.3924498203382666,0.0011249342452257,0.3529411764705882,0.1170366018530693,0.9402390438247012,0.3044687224824866,5
Daisuke Ono,87,0.087087087087087,0.0079354619288763,0.3081166872220985,0.0028571671700702,0.8529411764705882,0.0836110361854589,0.7381920550516109,0.8455810763410438,1
Joan Cusack,55,0.055055055055055,0.0041324592612875,0.379741345045894,0.0016368749885128,0.5392156862745098,0.0435411578969514,0.9097918272937549,0.4643880131639373,6
Elizabeth Banks,77,0.077077077077077,0.0038382378103406,0.4038741488515986,0.0023242675053673,0.7549019607843137,0.0404411291144875,0.967609676096761,0.6791146688492801,2
Bobby Cannavale,79,0.079079079079079,0.0053185012857676,0.4040398068289783,0.0021656809760188,0.7745098039215687,0.0560377464402631,0.9680065627563578,0.6295756438398282,2
Chris Parnell,51,0.051051051051051,0.0054922886783615,0.3890399087871442,0.0014639824241074,0.5,0.0578688363126582,0.9320695102685626,0.4103800901252531,5
Kari Wahlgren,55,0.055055055055055,0.0606723708735141,0.3944930112330993,0.0018238552520605,0.5392156862745098,0.6392671078293894,0.9451341609931918,0.522796630782401,4
Liev Schreiber,74,0.074074074074074,0.0049167240429581,0.3976782596080133,0.0022572607535084,0.7254901960784313,0.0518044690471976,0.9527654420670164,0.658183199008938,2
Kevin Michael Richardson,42,0.042042042042042,0.0047025938071218,0.3888863201930711,0.0015499357275318,0.4117647058823529,0.0495483116795009,0.9317015396762732,0.4372300556644433,4
Kay Kay Menon,33,0.033033033033033,0.0002014900233557,0.2399632275393542,0.0011102779727946,0.3235294117647059,0.0021229752955526,0.5749086479902558,0.2998904178213584,0
John Travolta,44,0.044044044044044,0.0053406842100858,0.3865969580255294,0.0013399925010414,0.4313725490196078,0.0562714741431348,0.9262166405023547,0.3716483017134862,5
Molly Shannon,66,0.066066066066066,0.0047433242055974,0.3962385555305909,0.0023855836187943,0.6470588235294118,0.0499774626037093,0.9493161705551086,0.6982685054898833,5
Mamoru Miyano,72,0.072072072072072,0.0095733018124101,0.322755258535075,0.0020291534098654,0.7058823529411765,0.1008679383035099,0.7732634338138925,0.5869273650614694,1
Keith David,39,0.039039039039039,0.0136829713965826,0.391825397394212,0.0012627277189757,0.3823529411764705,0.1441689755200265,0.9387430389817024,0.347512443599803,4
Jim Broadbent,42,0.042042042042042,0.0023495634168926,0.3686560812309315,0.0013343321403597,0.4117647058823529,0.0247558911668369,0.8832335329341316,0.3698801266325254,6
Terrence Howard,63,0.063063063063063,0.00717989349605,0.4075502892217828,0.0018292084652637,0.6176470588235294,0.0756500806489272,0.9764170459247,0.5244688595892496,2
Morgan Freeman,39,0.039039039039039,0.0023036916973018,0.373690838030747,0.001245239860803,0.3823529411764705,0.0242725693336566,0.8952959028831564,0.3420496123811474,5
Laura Linney,40,0.04004004004004,0.0030140766916445,0.3604277530366078,0.0012895870376531,0.392156862745098,0.0317574550277665,0.8635199414562752,0.3559027177621884,6
Ai Kayano,69,0.069069069069069,0.0008528099532731,0.2745398687427673,0.0017658091369267,0.6764705882352942,0.008985529072097,0.6577480490523969,0.5046642713624476,1
Kana Hanazawa,80,0.08008008008008,0.0072259686388715,0.3074435234235483,0.0020950343110724,0.7843137254901961,0.076135545826408,0.7365792759051185,0.6075071433436904,1
Jon Hamm,72,0.072072072072072,0.0059010120366943,0.3971971971971972,0.0019625873735046,0.7058823529411765,0.0621753006129975,0.9516129032258066,0.5661335652753002,6
Justin Long,68,0.068068068068068,0.0054772565182823,0.3954432151943192,0.0019232593210328,0.6666666666666666,0.0577104517735354,0.9474106784423928,0.5538483265291202,2
Rob Riggle,58,0.058058058058058,0.0031795316051051,0.3858398155303756,0.0018709630623047,0.5686274509803921,0.0335007507401528,0.9244026635330984,0.5375120987317555,5
Kareena Kapoor,52,0.052052052052052,0.0015973375832464,0.2864347336577636,0.0020165495562336,0.5098039215686274,0.0168301545228541,0.6862460017446932,0.5829901919431304,0
Yoshimasa Hosoya,70,0.07007007007007,0.0001382168070669,0.2540095536485428,0.001556817134693,0.6862745098039216,0.0014563046941301,0.6085611139762764,0.4393796594350628,1
Yoshitsugu Matsuoka,66,0.066066066066066,0.0004242241656447,0.2657267464389126,0.0015113020815878,0.6470588235294118,0.004469786684427,0.6366333962773133,0.4251617346003081,1
Miyuki Sawashiro,70,0.07007007007007,0.0058225270484265,0.3064869474328093,0.0014766198542446,0.6862745098039216,0.0613483530133624,0.7342874922215308,0.4143277518225875,1
Tony Hale,56,0.056056056056056,0.0051361291783829,0.399290250931921,0.0016873450996363,0.5490196078431373,0.0541162047573174,0.9566274827725983,0.4801537916789628,5
Yoko Hikasa,75,0.075075075075075,0.0001965951915513,0.2532910900100409,0.0014885820562003,0.7352941176470589,0.0020714014914334,0.6068398045770121,0.4180644867412918,1
Janeane Garofalo,42,0.042042042042042,0.0015551035144395,0.3777028562304636,0.0014607723697267,0.4117647058823529,0.0163851603578106,0.9049079754601228,0.4093773380952044,5
Bruce Willis,19,0.019019019019019,0.0005202156576423,0.3416750083416751,0.0007327776247146,0.1862745098039215,0.0054811894462127,0.8185917447103713,0.1819674185513251,5
Alfred Molina,47,0.047047047047047,0.0205801488567587,0.4163351855659548,0.0014846177337077,0.4607843137254901,0.2168402528028068,0.9974640743871512,0.4168261175562731,4
Andy Samberg,65,0.065065065065065,0.0037361955994803,0.4002637338679598,0.0022371267866615,0.6372549019607843,0.0393659736841982,0.9589597724502236,0.651893780284255,5
Guy Pearce,24,0.024024024024024,0.0015110661981473,0.3583299560018367,0.0008240324956974,0.2352941176470588,0.0159211664934304,0.8584939978173881,0.2104734799073532,5
Kenjiro Tsuda,69,0.069069069069069,0.0005535840267974,0.2659419678858124,0.0013035481625178,0.6764705882352942,0.0058327712376545,0.6371490280777539,0.3602638732567531,1
Adam Scott,59,0.059059059059059,0.0037225463197505,0.3888863201930711,0.0018788366580816,0.5784313725490197,0.0392221596968559,0.9317015396762732,0.5399716409117231,5
Grey Griffin,35,0.035035035035035,0.0030761429232877,0.3745433646574331,0.0013301359518874,0.3431372549019608,0.0324114083812474,0.8973384030418251,0.3685693274963856,4
Seth Rogen,53,0.053053053053053,0.0030544371455353,0.3831384866001747,0.002055296562516,0.5196078431372549,0.0321827080755373,0.9179307662388176,0.5950939243417902,4
Michael Peña,58,0.058058058058058,0.0039974825525929,0.3956020277305418,0.0017160193621226,0.5686274509803921,0.0421189921079889,0.9477911646586346,0.489111015298588,5
Danny Trejo,39,0.039039039039039,0.0034773256813763,0.3656455267442647,0.0013905872787575,0.3823529411764705,0.0366384220578516,0.8760207869339273,0.3874530233939669,5
Ben Kingsley,40,0.04004004004004,0.0211353770884852,0.3807688631809235,0.0013024523315051,0.392156862745098,0.2226903480071134,0.9122535755701584,0.3599215591890402,6
Kathy Bates,56,0.056056056056056,0.003688720422747,0.3916696020075741,0.0016320227752547,0.5490196078431373,0.0388657572184983,0.9383697813121272,0.4628722859774591,5
Rosario Dawson,44,0.044044044044044,0.0198697928232027,0.4058710544083433,0.0013735817233161,0.4313725490196078,0.2093556722505287,0.9723939019365472,0.3821408531877572,4
Satoshi Hino,57,0.057057057057057,0.0006201256527489,0.2718126515036007,0.0013236234044988,0.5588235294117647,0.0065338790427371,0.6512141280353201,0.3665349475948483,1
Kaito Ishikawa,69,0.069069069069069,0.0008110909960382,0.2693598712193188,0.001327885612329,0.6764705882352942,0.0085459623179189,0.6453377085042384,0.367866369760166,1
Will Forte,55,0.055055055055055,0.0023441948906238,0.3795950092674563,0.0016881607014491,0.5392156862745098,0.0246993263382051,0.9094412331406552,0.4804085681644958,5
Tomokazu Sugita,78,0.078078078078078,0.0009472154580465,0.2706922366169412,0.0020257199997434,0.7647058823529411,0.0099802212710469,0.6485298158834845,0.5858548414959308,1
Dermot Mulroney,49,0.049049049049049,0.0028557275989353,0.3781378307290015,0.0014880799957367,0.4803921568627451,0.0300890289375007,0.9059500959692898,0.4179076538377437,5
Tetsuya Kakihara,71,0.071071071071071,0.0043810496978094,0.3053468843921417,0.0014709304066838,0.696078431372549,0.0461604010071419,0.731556106633602,0.4125504906254387,1
Gugu Mbatha-Raw,71,0.071071071071071,0.0058942618897936,0.3893474502170154,0.0020168688688206,0.696078431372549,0.0621041785054463,0.932806324110672,0.5830899383358402,6
Sam Shepard,40,0.04004004004004,0.0018704793560681,0.3633526554957761,0.0013675876417817,0.392156862745098,0.0197080798227093,0.8705274806344522,0.3802684308813855,5
Nobuhiko Okamoto,65,0.065065065065065,0.0002579193993829,0.2656550833465612,0.0013773456755558,0.6372549019607843,0.002717536600644,0.6364617044228694,0.3833166310101329,1
Rie Kugimiya,61,0.061061061061061,0.0024198842285542,0.287102608291766,0.0012930590506215,0.5980392156862745,0.0254968179057122,0.6878461090061206,0.3569873000276467,1
Jason Schwartzman,51,0.051051051051051,0.0022909871544743,0.3837355080050834,0.0020071531487339,0.5,0.024138709452583,0.9193611219322164,0.5800549560940422,5
Kazuhiko Inoue,64,0.064064064064064,0.0004329427370854,0.2658701886772062,0.0014257889625219,0.6274509803921569,0.0045616488594016,0.6369770580296896,0.3984492731986797,1
Takehito Koyasu,58,0.058058058058058,0.0003202037673682,0.2646558433769611,0.0012718118637858,0.5686274509803921,0.0033737883213478,0.6340677055346589,0.3503501352926909,1
Mark Hamill,49,0.049049049049049,0.0034490818090125,0.3800343553429973,0.0016257249726168,0.4803921568627451,0.0363408339079254,0.9104938271604938,0.4609049877229031,4
Bryce Dallas Howard,72,0.072072072072072,0.0059221509331798,0.3890399087871442,0.001943018906323,0.7058823529411765,0.0623980280427065,0.9320695102685626,0.5600207964979799,6
Jon Lovitz,50,0.05005005005005,0.002458744573708,0.3798877936941955,0.0015464334464503,0.4901960784313725,0.0259062652389561,0.9101426918627074,0.4361360182906381,5
Gerard Butler,64,0.064064064064064,0.0202036539434639,0.4094135698458225,0.0019206012534765,0.6274509803921569,0.2128733596211275,0.9808811305070656,0.553018003325204,2
Patrick Warburton,69,0.069069069069069,0.0047753701702699,0.4033779889635745,0.0019817670704467,0.6764705882352942,0.0503151110400378,0.9664209664209664,0.5721248905813838,2
John C. Reilly,55,0.055055055055055,0.0040016653834481,0.3930762366516557,0.0019033958727755,0.5392156862745098,0.0421630640001016,0.9417398244213888,0.5476434120005561,5
Eri Kitamura,73,0.073073073073073,0.002202074280888,0.2806407547148288,0.0013997704063409,0.7156862745098039,0.0232018896987472,0.6723646723646723,0.3903216351788878,1
Chloë Grace Moretz,55,0.055055055055055,0.0063215762537673,0.4042056007587398,0.0014980352746705,0.5392156862745098,0.0666065246913385,0.9684037751333606,0.4210174691171454,2
Laurence Fishburne,33,0.033033033033033,0.0023774003924389,0.377268881290329,0.0011954641642641,0.3235294117647059,0.0250491920975899,0.9038682497127538,0.3265007540649192,5
Paul Giamatti,57,0.057057057057057,0.0095419998200438,0.4138861550626257,0.001641548359586,0.5588235294117647,0.1005381286415299,0.9915966386554624,0.4658478738937366,5
Anil Kapoor,42,0.042042042042042,0.001579866312757,0.2856042473322844,0.0014004978502833,0.4117647058823529,0.0166460705914853,0.6842563061757031,0.3905488730395375,0
Saori Hayami,57,0.057057057057057,0.000623536930619,0.2718126515036007,0.0011844284169001,0.5588235294117647,0.0065698215600086,0.6512141280353201,0.3230534236585706,1
James Cromwell,54,0.054054054054054,0.0039018319138162,0.3865969580255294,0.0016062337664722,0.5294117647058824,0.0411111807049981,0.9262166405023547,0.4548163536338188,5
Sayaka Ohara,59,0.059059059059059,0.0021008077715987,0.2856870791905594,0.0011641882537337,0.5784313725490197,0.0221349073543736,0.6844547563805105,0.3167308314849689,1
Joseph Gordon-Levitt,50,0.05005005005005,0.0031162422314982,0.3812109322945236,0.0015183545641641,0.4901960784313725,0.032833909899099,0.913312693498452,0.4273647786555699,5
Steve Buscemi,51,0.051051051051051,0.0025962578493656,0.37241930020758,0.0016840854289858,0.5,0.0273551572593623,0.892249527410208,0.4791355405920471,5
Rajesh Sharma,21,0.021021021021021,0.0004576208507234,0.2657267464389126,0.0008185581453159,0.2058823529411764,0.004821666823179,0.6366333962773133,0.2087634104482704,0
Tara Strong,23,0.023023023023023,0.0036020233786839,0.3526849441636409,0.0009305056018594,0.2254901960784313,0.037952284284812,0.8449695667740781,0.2437333910149104,4
Naomi Watts,46,0.046046046046046,0.0013718832305852,0.3784283707449286,0.0013011056524547,0.4509803921568627,0.0144546819659348,0.9066461774875144,0.3595008855830804,2
Jane Lynch,47,0.047047047047047,0.0022349463853823,0.3838850541890292,0.001410779266174,0.4607843137254901,0.0235482426575294,0.9197194076383476,0.393760566498178,5
