Source,Target,Movies_Count
Annabeth Gish,Henry Thomas,1
James Marsden,Vanessa Hudgens,1
Ken Jeong,Vanessa Hudgens,1
Jane Krakowski,Vanessa Hudgens,1
James Marsden,Ken Jeong,1
James Marsden,Jane Krakowski,1
Jane Krakowski,Ken Jeong,1
Chris O'Dowd,Timothy Olyphant,1
Chris O'Dowd,Daveed Diggs,1
Chris O'Dowd,Loretta Devine,1
Daveed Diggs,Timothy Olyphant,1
Loretta Devine,Timothy Olyphant,1
Daveed Diggs,Loretta Devine,1
Adam Sandler,Kevin James,4
Adam Sandler,Chris Rock,2
Adam Sandler,David Spade,4
Adam Sandler,Rob Schneider,7
Adam Sandler,Salma Hayek,1
Adam Sandler,Maria Bello,1
Adam Sandler,Maya Rudolph,3
Chris Rock,Kevin James,1
David Spade,Kevin James,2
Kevin James,Rob Schneider,3
Kevin James,Salma Hayek,1
Kevin James,Maria Bello,1
Kevin James,Maya Rudolph,2
Chris Rock,David Spade,1
Chris Rock,Rob Schneider,1
Chris Rock,Salma Hayek,1
Chris Rock,Maria Bello,1
Chris Rock,Maya Rudolph,2
David Spade,Rob Schneider,3
David Spade,Salma Hayek,1
David Spade,Maria Bello,1
David Spade,Maya Rudolph,1
Rob Schneider,Salma Hayek,1
Maria Bello,Rob Schneider,1
Maya Rudolph,Rob Schneider,3
Maria Bello,Salma Hayek,1
Maya Rudolph,Salma Hayek,1
Maria Bello,Maya Rudolph,1
Amber Heard,Gary Oldman,1
Gary Oldman,Harrison Ford,2
Amber Heard,Harrison Ford,1
Bob Odenkirk,Jill Talley,2
Ben Diskin,Yuri Lowenthal,1
Grey Griffin,Yuri Lowenthal,1
Tom Kenny,Yuri Lowenthal,1
Fred Tatasciore,Yuri Lowenthal,2
Ben Diskin,Grey Griffin,1
Ben Diskin,Tom Kenny,1
Ben Diskin,Fred Tatasciore,2
Grey Griffin,Tom Kenny,4
Fred Tatasciore,Grey Griffin,2
Fred Tatasciore,Tom Kenny,2
Denzel Washington,Ryan Reynolds,1
Denzel Washington,Vera Farmiga,1
Brendan Gleeson,Denzel Washington,1
Denzel Washington,Sam Shepard,2
Denzel Washington,Robert Patrick,1
Ryan Reynolds,Vera Farmiga,1
Brendan Gleeson,Ryan Reynolds,1
Ryan Reynolds,Sam Shepard,1
