Actor,Group,Movies_Count
Anupam Kher,0,43
Shah Rukh Khan,0,35
Julie Tejwani,0,33
Naseeruddin Shah,0,32
Takahiro Sakurai,0,32
Rupa Bhimani,0,31
Akshay Kumar,0,30
Om Puri,0,30
Yuki Kaji,0,29
Amitabh Bachchan,0,28
Paresh Rawal,0,28
Boman Irani,0,27
Rajesh Kava,0,26
Vincent Tong,0,26
Andrea Libman,0,25
Kareena Kapoor,0,25
Samuel L. Jackson,0,24
John Cleese,0,24
Jigna Bhardwaj,0,23
Fred Tatasciore,0,23
Tara Strong,0,23
Daisuke Ono,0,22
Junichi Suwabe,0,21
Ajay Devgn,0,21
Ashleigh Ball,0,21
Kay Kay Menon,0,21
Nicolas Cage,0,21
Nawazuddin Siddiqui,0,21
Adam Sandler,0,20
David Attenborough,0,20
Salman Khan,0,20
David Spade,0,19
Yuichi Nakamura,0,19
Erin Fitzgerald,0,19
Mamoru Miyano,0,19
Morgan Freeman,0,19
James Franco,0,19
Seth Rogen,0,19
Ai Kayano,0,19
Fred Armisen,0,19
Gulshan Grover,0,19
Vatsal Dubey,0,18
Rajesh Sharma,0,18
Fortune Feimster,0,18
Diana Kaarina,0,18
Yashpal Sharma,0,18
Kana Hanazawa,0,18
Laura Bailey,0,18
Anil Kapoor,0,18
Debi Derryberry,0,18
Bruce Willis,0,17
Molly Shannon,0,17
Rajpal Yadav,0,17
Brian Drummond,0,17
Michela Luci,0,17
Alessandro Juliani,0,17
Danny Trejo,0,17
Priyanka Chopra,0,17
Asrani,0,17
Jackie Shroff,0,17
Saif Ali Khan,0,17
Kate Higgins,0,17
Maya Rudolph,0,16
Blossom Chukwujekwu,0,16
Miyuki Sawashiro,0,16
Jun Fukuyama,0,16
Kari Wahlgren,0,16
Tinnu Anand,0,16
Yoshimasa Hosoya,0,16
Hiroshi Kamiya,0,16
Mike Epps,0,16
Laurence Fishburne,0,16
Sanjay Mishra,0,16
Manoj Joshi,0,16
Alfred Molina,0,16
Vijay Raaz,0,16
Kristen Stewart,0,16
Sam Vincent,0,16
Manoj Bajpayee,0,16
Tomokazu Sugita,0,16
Aamir Khan,0,16
Hassan Hosny,0,16
Robb Wells,0,16
Michael Palin,0,16
Amrish Puri,0,16
Chris Rock,0,15
Grey Griffin,0,15
Richard Mofe-Damijo,0,15
Sonal Kaushal,0,15
Pankaj Tripathi,0,15
Willem Dafoe,0,15
Sanjay Dutt,0,15
Radhika Apte,0,15
Takehito Koyasu,0,15
Kathleen Barr,0,15
Michael Peña,0,15
Toyin Abraham,0,15
Keith David,0,15
Erin Mathews,0,15
Ben Kingsley,0,15
