Actor,Degree,Appearances
Anupam Kher,273,43
Samuel L. Jackson,239,24
Takahiro Sakurai,228,32
Fred Tatasciore,226,23
Yuichi Nakamura,223,19
Yuki Kaji,220,29
Shah Rukh Khan,210,35
Fred Armisen,209,19
Akshay Kumar,193,30
Katsuyuki Konishi,191,12
Jun Fukuyama,188,16
Om Puri,187,30
Junichi Suwabe,185,21
Naseeruddin Shah,183,32
Boman Irani,183,27
Hiroshi Kamiya,182,16
James Franco,182,19
Maya Rudolph,181,16
Paresh Rawal,179,28
Amitabh Bachchan,178,28
Nick Swardson,174,12
Dennis Quaid,172,13
Adam Sandler,170,20
Nicolas Cage,169,21
Willem Dafoe,168,15
Daisuke Ono,164,22
Joan Cusack,164,13
Elizabeth Banks,164,11
Bobby Cannavale,164,11
Chris Parnell,164,12
Kari Wahlgren,161,16
Liev Schreiber,161,13
Kevin Michael Richardson,158,14
Kay Kay Menon,157,21
John Travolta,157,14
Molly Shannon,156,17
Mamoru Miyano,155,19
Keith David,154,15
Jim Broadbent,154,13
Terrence Howard,153,10
Morgan Freeman,151,19
Laura Linney,151,13
Ai Kayano,150,19
Kana Hanazawa,150,18
Jon Hamm,150,8
Justin Long,149,12
Rob Riggle,149,13
Kareena Kapoor,149,25
Yoshimasa Hosoya,148,16
Yoshitsugu Matsuoka,147,14
Miyuki Sawashiro,146,16
Tony Hale,146,14
Yoko Hikasa,146,14
Janeane Garofalo,145,10
Bruce Willis,144,17
Alfred Molina,144,16
Andy Samberg,143,12
Guy Pearce,143,14
Kenjiro Tsuda,143,14
Adam Scott,143,12
Grey Griffin,142,15
Seth Rogen,142,19
Michael Peña,142,15
Danny Trejo,142,17
Ben Kingsley,142,15
Kathy Bates,141,11
Rosario Dawson,140,14
Satoshi Hino,139,12
Kaito Ishikawa,139,11
Will Forte,139,11
Tomokazu Sugita,139,16
Dermot Mulroney,139,12
Tetsuya Kakihara,138,9
Gugu Mbatha-Raw,137,9
Sam Shepard,136,11
Nobuhiko Okamoto,136,12
Rie Kugimiya,135,12
Jason Schwartzman,135,12
Kazuhiko Inoue,134,14
Takehito Koyasu,134,15
Mark Hamill,134,11
Bryce Dallas Howard,134,7
Jon Lovitz,134,10
Gerard Butler,134,13
Patrick Warburton,134,11
John C. Reilly,133,13
Eri Kitamura,133,9
Chloë Grace Moretz,133,9
Laurence Fishburne,132,16
Paul Giamatti,132,12
Anil Kapoor,132,18
Saori Hayami,131,13
James Cromwell,131,11
Sayaka Ohara,131,12
Joseph Gordon-Levitt,130,9
Steve Buscemi,130,12
Rajesh Sharma,129,18
Tara Strong,129,23
Naomi Watts,129,12
Jane Lynch,129,10
Johnny Depp,129,14
Paul Rudd,129,11
James Marsden,128,13
Fumiko Orikasa,128,13
Halle Berry,128,12
Yuri Lowenthal,127,10
Sarah Silverman,127,7
Helen Mirren,127,14
Yashpal Sharma,127,18
Priyanka Chopra,127,17
Pierce Brosnan,126,14
John Goodman,126,10
Oprah Winfrey,126,10
Gulshan Grover,126,19
Mark Strong,125,8
Topher Grace,125,10
Natsuki Hanae,125,14
Jackie Shroff,125,17
Stanley Tucci,124,13
Tinnu Anand,124,16
William H. Macy,124,12
Mike Epps,124,16
Ajay Devgn,124,21
John Michael Higgins,124,12
Benedict Wong,124,6
Salma Hayek,123,12
Richard Mofe-Damijo,123,15
Ryohei Kimura,123,11
Shizuka Ito,123,8
Andy Serkis,122,7
Jesse Plemons,122,8
John Leguizamo,122,12
Ray Liotta,122,13
Nawazuddin Siddiqui,122,21
Viola Davis,122,11
Manoj Joshi,121,16
Asrani,121,17
Brendan Gleeson,120,13
Bimbo Manuel,120,14
Will Smith,120,12
Ciarán Hinds,120,8
Antonio Banderas,120,15
Anton Yelchin,119,12
Amy Adams,119,13
Julia Roberts,119,11
Steven Yeun,119,12
Tiffany Haddish,119,13
Salman Khan,119,20
Amrish Puri,119,16
David Spade,118,19
Hiroki Yasumoto,118,10
Mary Elizabeth Winstead,118,9
Sanjay Dutt,118,15
David Oyelowo,118,10
Bradley Cooper,118,8
Michael Sheen,118,9
Lake Bell,118,10
Kenta Miyake,118,11
Steve Zahn,118,11
Glenn Close,117,12
Christina Hendricks,117,12
Greg Kinnear,117,10
Sanjay Mishra,117,16
Don Cheadle,117,11
Jim Cummings,117,9
Patton Oswalt,117,12
Christopher Meloni,117,10
Nicole Byer,116,7
Kohsuke Toriumi,116,10
Megumi Han,116,11
Gary Cole,116,11
Michael Douglas,116,9
Sarah Shahi,116,7
Johnny Yong Bosch,116,12
Amy Poehler,116,10
Randall Park,115,7
Shaffy Bello,115,14
Tracy Morgan,115,11
Vijay Raaz,115,16
M・A・O,115,10
Mahershala Ali,115,9
Keegan-Michael Key,115,11
Adil Hussain,115,15
Loretta Devine,114,12
Ryan Reynolds,114,13
Toshiyuki Morikawa,114,11
Andy Richter,114,10
Ryotaro Okiayu,114,8
Laura Bailey,114,18
David Koechner,113,13
Zoe Saldana,113,10
Lena Headey,113,10
Parker Posey,113,9
Pavan Malhotra,113,14
Harrison Ford,112,12
Robert Patrick,112,12
Harvey Keitel,112,11
Neil Patrick Harris,112,10
Cuba Gooding Jr.,112,7
Kazuyuki Okitsu,112,10
Domhnall Gleeson,112,6
Jack McBrayer,111,6
Dominic West,111,6
Romi Park,110,10
Rajpal Yadav,110,17
Hannah John-Kamen,110,5
Wataru Takagi,110,7
Clancy Brown,110,9
Ricky Gervais,110,13
Alia Shawkat,110,10
Stephanie Sheh,110,12
Jason Flemyng,110,8
Chris Rock,109,15
Rob Schneider,109,11
Blossom Chukwujekwu,109,16
Koji Yusa,109,9
Ben Stiller,109,11
Ramsey Nouah,109,14
Kate Walsh,109,10
Bruce Greenwood,109,12
Susan Sarandon,109,12
Jessica Chastain,109,11
Helena Bonham Carter,109,10
Martin Lawrence,108,12
Kristen Stewart,108,16
Carla Gugino,108,11
Judy Greer,108,12
Aoi Yuki,108,11
Meryl Streep,108,11
Sean Bean,108,11
Kristen Bell,108,9
Maria Bamford,108,9
Emma Stone,108,8
Yuhko Kaida,107,9
Kenji Nojima,107,7
Emma Roberts,107,8
Toyin Abraham,107,15
Fortune Feimster,107,18
Luke Wilson,107,10
Manoj Bajpayee,107,16
Rory Kinnear,107,7
Kulbhushan Kharbanda,106,14
Radhika Apte,106,15
Mikako Komatsu,106,10
Koichi Yamadera,106,11
Alison Pill,106,8
Raghuvir Yadav,106,12
Ron Perlman,106,13
Kathryn Hahn,106,12
Andrea Riseborough,106,7
Common,106,9
Sean Astin,106,15
Sharat Saxena,106,14
Saif Ali Khan,106,17
Hiro Shimono,105,8
Angela Bassett,105,7
Dylan McDermott,105,8
George Lopez,105,9
Aamir Khan,105,16
Melissa Leo,105,8
Cate Blanchett,105,12
Yui Horie,104,8
Jacki Weaver,104,12
Jennifer Garner,104,10
Liam Neeson,104,14
John Abraham,104,14
Rajit Kapoor,104,13
Minako Kotobuki,104,12
Uma Thurman,104,9
Terry Crews,104,11
Jane Krakowski,103,11
Amber Heard,103,11
Hiroyuki Yoshino,103,8
James Remar,103,10
Tony Todd,103,11
George Clooney,103,12
Kate Winslet,103,8
Ben Mendelsohn,103,12
Michael Jai White,103,11
Ewan McGregor,103,10
Pedro Pascal,103,5
Allison Janney,103,8
Kensho Ono,102,8
Luis Guzmán,102,10
Nick Offerman,102,10
Will Ferrell,102,13
Anthony Anderson,102,11
Mike Colter,102,9
Ranvir Shorey,102,14
Ken Jeong,101,12
John Cleese,101,24
Maaya Sakamoto,101,13
Emile Hirsch,101,11
Jason Isaacs,101,10
Seema Biswas,101,13
Tom Kenny,100,12
Tomokazu Seki,100,8
Robert De Niro,100,12
John Malkovich,100,12
Colin Farrell,100,10
Kiernan Shipka,100,9
Sachin Khedekar,100,14
Ken Marino,100,8
Alison Brie,100,11
Kelly Macdonald,100,6
Michael Cera,100,8
Clint Dyer,100,3
Natasha Lyonne,99,8
Mike Vogel,99,10
Alec Baldwin,99,11
Anthony Mackie,99,11
Danny McBride,99,12
Patricia Clarkson,99,9
Hassan Hosny,99,16
Rosemarie DeWitt,99,6
Vera Farmiga,98,10
David Harbour,98,10
Sandra Oh,98,9
Sam Neill,98,10
Idris Elba,98,10
Michael Smiley,98,6
James Purefoy,98,7
Mai Nakahara,98,6
Jeff Bennett,98,10
Shinichiro Miki,98,9
Denzel Washington,97,11
Tina Mba,97,13
Yuki Ono,97,7
Kazuya Nakai,97,12
Zachary Quinto,97,9
Natasha Leggero,97,7
Gary Oldman,96,11
Dee Bradley Baker,96,14
Diedrich Bader,96,9
Mahesh Manjrekar,96,13
Julianne Moore,96,11
Samira Wiley,96,5
Cameron Diaz,96,10
Oscar Isaac,96,9
Hiroki Touchi,96,6
Vipin Sharma,95,13
Sterling K. Brown,95,7
Rajkummar Rao,95,14
Craig Robinson,95,9
Luis Tosar,95,10
Damián Alcázar,95,6
Seth Green,95,9
Soma Saito,95,8
Michael Stuhlbarg,95,9
Natalie Dormer,95,10
Christopher Lee,95,11
Debi Derryberry,95,18
Kana Asumi,95,4
Houko Kuwashima,94,12
Woody Harrelson,94,14
Michael Madsen,94,11
Michiko Neya,94,5
Bobby Moynihan,94,7
Kate Berlant,94,7
Octavia Spencer,94,8
Chris Pine,94,9
Alfre Woodard,94,9
Rosamund Pike,94,9
Jonah Hill,94,10
Nikki Glaser,94,6
Dylan Baker,94,6
Jada Pinkett Smith,93,10
Mithun Chakraborty,93,13
Shakti Kapoor,93,14
Abhishek Bachchan,93,13
Bryce Papenbrook,93,8
Bill Nighy,93,6
Whoopi Goldberg,93,7
Kim Coates,93,10
Adam Pally,93,9
Carlos Alazraqui,93,9
Tim Blake Nelson,93,10
Richard Gere,93,6
Eric André,93,6
Benedict Cumberbatch,93,10
Aubrey Plaza,93,9
Joe Cole,93,5
John Kassir,93,4
Miguel Sandoval,92,5
Bruce McGill,92,9
Anna Kendrick,92,10
Danielle Brooks,92,3
Sam Rockwell,92,9
Kevin Spacey,92,8
Johnny Knoxville,92,7
Michael Shannon,92,11
Akio Otsuka,91,9
Mamiko Noto,91,8
Chadwick Boseman,91,8
Anthony Hopkins,91,10
Anna Faris,91,7
Kevin Corrigan,91,10
Chris Evans,91,7
Vincent Tong,91,26
Jackie Chan,91,13
Forest Whitaker,91,9
Jessica Brown Findlay,91,5
Manolo Cardona,91,6
Olivia Colman,91,8
Katrina Kaif,91,14
Kaori Nazuka,91,7
Rishi Kapoor,90,13
Divya Dutta,90,11
Daisuke Namikawa,90,11
Omoni Oboli,90,13
Paul Bettany,90,9
Steve Blum,90,9
Atsuko Tanaka,90,8
